"","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0073421","4364.76885040448","4387.43920271918","4714.02419535411","552.695930330418","465.665541175425","567.676016694649","0.000575251054325554","-3.09252415242282","3.94316169867198e-8","0.117235048599079","3.24014257667957"
"FBtr0089348","1299.0880240995","1367.02163460719","1204.36704441137","305.13460583946","303.054599059839","277.001744346414","0.000786311031244901","-2.12794722476759","2.41084537774946e-7","0.228783160996534","3.10440563152541"
"FBtr0300190","937.017944434165","1015.02557441743","929.889542529478","126.038863744892","132.346946807823","127.873343251573","0.000575251054325554","-2.89958781882612","7.62275298914137e-8","0.134009964292332","3.24014257667957"
"FBtr0334328","1697.21129718325","1768.74749279808","1853.24034293656","666.274243908679","635.577535910144","639.142261294377","0.000786311031244901","-1.45511089064571","3.63615244836962e-7","0.364727050770931","3.10440563152541"
"FBtr0308065","990.590904275061","956.584128371946","986.257355839754","363.479498258144","340.524027883151","350.423845475868","0.000786311031244901","-1.47802166994218","3.34321350262972e-7","0.358980735559827","3.10440563152541"
"FBtr0084549","970.869512728797","983.411843154975","1079.69978618844","144.342571848845","113.200374282455","125.689749689358","0.000786311031244901","-2.99093974457026","3.64684106454271e-7","0.125787481452525","3.10440563152541"
"FBtr0089877","552.718546005557","555.119834707336","564.967854844162","235.988898781696","225.476957178987","231.754172287517","0.00116579138196767","-1.27389601497028","0.00000135424698972016","0.41354148994856","2.93337915949669"
"FBtr0073269","2263.12972823028","2409.30374589977","2180.46818752189","893.053372113201","754.061173350867","770.095122178821","0.00116579138196767","-1.50741578425689","0.00000169929175136081","0.351740707661034","2.93337915949669"
"FBtr0077409","753.090577877773","786.692985490609","814.51540528599","218.297026557187","249.88161354589","265.14892323161","0.00116579138196767","-1.68779161358965","0.00000158051567970028","0.310401704827231","2.93337915949669"
"FBtr0072393","742.194513898294","802.744736151974","839.892410001775","217.910847162826","178.216506402998","179.10797295409","0.00116579138196767","-2.05703218071081","0.00000167264648030637","0.240309871692866","2.93337915949669"
"FBtr0302695","1074.49833202286","1001.97338830676","1150.33245303354","373.989765304824","320.027232321469","342.37819792851","0.00147033671330638","-1.64037385613548","0.00000243546132860661","0.320773339274016","2.83258319859488"
"FBtr0342811","7280.11639733197","8672.85203576818","7294.15239157412","890.481932669996","512.464680946167","510.697194637362","0.00152449756235941","-3.65177128258439","0.00000281738745045082","0.0795622958501563","2.81687326572609"
"FBtr0077645","2182.74761098137","2642.35409079877","2252.4137884224","393.523161990637","252.336888024824","259.417413304265","0.00152449756235941","-2.99457286644282","0.00000296390991034774","0.125471110847838","2.81687326572609"
"FBtr0301403","1620.63950882946","1653.96344627777","1809.04068060189","778.554098032127","800.112061598583","811.705607930003","0.00152449756235941","-1.08854638821067","0.00000306215962824813","0.47023492915414","2.81687326572609"
"FBtr0070985","600.547542053165","677.893521346698","565.264550474105","155.833528983002","145.158634428327","156.785491731023","0.00147033671330638","-2.0091260371791","0.0000023920863613123","0.248423569524387","2.83258319859488"
"FBtr0290019","2665.36517799707","2930.4123600485","2940.99098835133","1098.65348859864","885.971686747747","975.058714732287","0.00152449756235941","-1.53413390983884","0.00000308583418420463","0.345286561316727","2.81687326572609"
"FBtr0083967","332.38355236489","331.094554823946","350.810038674046","84.094773060802","81.8896246369308","85.4821773726575","0.00116579138196767","-2.01343107675259","0.00000131084161276155","0.24768337205685","2.93337915949669"
"FBtr0075753","3640.96363378969","4265.36154950078","3443.58432096417","1273.66934113111","1289.5440571878","1143.69532749048","0.0015527659538183","-1.61222901246432","0.00000336696855653123","0.327092591279113","2.80889399992195"
