Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
cdna	13106500	4303140	4728490	12167800	4628480	5195110	6772788	6444063	6659070	6219000	6362443	6443894	6483542.78	6625307	6341779	0.957	-0.063	-0.573	0.566932489456822	0.883626623868128	6e-04	0.0255	0.0087	0.0087	TRUE	NA
FBgn0013687	1	0	0	7	0	1	1	0	0	4	0	1	0.89	0	2	3.562	1.833	0.606	0.544300575737406	NA	0	7.2991	5.2872	5.2872	TRUE	NA
FBtr0006151	3	0	1	3	1	1	2	0	1	2	1	1	1.18	1	1	1.41	0.495	0.241	0.809625210215736	NA	0	5.4855	2.0749	2.0749	TRUE	NA
FBtr0070028	124	27	40	226	22	26	64	40	56	116	30	32	56.47	53	59	0.946	-0.08	-0.173	0.862697701090807	0.97465556610077	0.1228	0.1401	0.1313	0.1313	TRUE	NA
FBtr0070029	4	3	2	3	1	2	2	4	3	2	1	2	2.46	3	2	0.602	-0.732	-0.524	0.600043698525284	NA	0	2.6536	0.9645	0.9645	TRUE	NA
FBtr0070032	8	5	2	8	6	6	4	7	3	4	8	7	5.7	5	6	1.304	0.383	0.389	0.697321477047992	NA	0	1.1596	0.5132	0.5132	TRUE	NA
FBtr0070034	1	1	0	2	1	1	1	1	0	1	1	1	0.94	1	1	1.861	0.896	0.398	0.690358877477578	NA	0	6.8916	2.4481	2.4481	TRUE	NA
FBtr0070036	2163	839	1079	2259	1056	1290	1118	1256	1520	1155	1452	1600	1350	1298	1402	1.076	0.106	0.684	0.494019890799859	0.84836396620686	0.0067	0.0303	0.0165	0.0165	TRUE	NA
FBtr0070046	458	111	119	681	94	110	237	166	168	348	129	136	197.37	190	204	0.994	-0.008	-0.03	0.976197401410961	0.995184843799594	0.0403	0.0583	0.0488	0.0488	TRUE	NA
FBtr0070052	1465	348	551	1408	499	764	757	521	776	720	686	948	734.56	685	785	1.145	0.195	0.795	0.426375871013633	0.811437297274203	0.0495	0.0343	0.0419	0.0419	TRUE	NA
FBtr0070053	10	4	4	6	2	1	5	6	6	3	3	1	3.97	6	2	0.427	-1.228	-1.047	0.295326003937498	NA	0	1.6527	0.6817	0.6817	TRUE	NA
FBtr0070054	5	3	2	2	2	2	3	4	3	1	3	2	2.69	3	2	0.581	-0.783	-0.584	0.559324052872088	NA	0	2.4289	0.8871	0.8871	TRUE	NA
FBtr0070055	671	263	415	971	343	564	347	394	584	496	471	700	498.73	442	556	1.272	0.347	1.359	0.174286015275241	0.567497288547894	0.0483	0.0385	0.0449	0.0449	TRUE	NA
FBtr0070059	383	83	116	137	112	99	198	124	163	70	154	123	138.72	162	116	0.685	-0.545	-1.44	0.149827006855811	0.528025983895673	0.1204	0.0722	0.0955	0.0955	TRUE	NA
FBtr0070060	265	89	101	353	139	186	137	133	142	180	191	231	169.11	137	201	1.45	0.536	2.336	0.0194951125531331	0.150469554508986	0	0.0638	0.0315	0.0315	TRUE	NA
FBtr0070061	401	123	173	365	114	152	207	184	244	187	157	189	194.47	212	178	0.839	-0.253	-1.069	0.285076049572298	0.701225147631783	0.0123	0.0588	0.0347	0.0347	TRUE	NA
FBtr0070063	1131	358	341	978	321	371	584	536	480	500	441	460	500.35	533	467	0.876	-0.191	-1.205	0.228311736771233	0.646665140659404	0	0.0385	0.016	0.016	TRUE	NA
FBtr0070074	0	0	0	1	0	0	0	0	0	1	0	0	0.09	0	0	1.722	0.784	0.193	0.847183740631552	NA	0	75.946	10	10	TRUE	NA
FBtr0070076	9	1	0	1	1	0	5	1	0	1	1	0	1.34	2	1	0.378	-1.403	-0.6	0.548220432511693	NA	0	4.8554	2.8513	2.8513	TRUE	NA
FBtr0070077	7	0	0	0	9	5	4	0	0	0	12	6	3.7	1	6	10.214	3.353	1.423	0.154778349819159	NA	7.2441	1.7742	3.2613	3.2613	TRUE	NA
FBtr0070078	96	19	22	107	35	40	50	28	31	55	48	50	43.58	36	51	1.406	0.492	1.241	0.214689796724646	0.62716413398337	0	0.1739	0.087	0.087	TRUE	NA
FBtr0070080	2	3	0	2	3	1	1	4	0	1	4	1	1.99	2	2	1.121	0.165	0.092	0.926376485783644	NA	0	3.2829	1.7609	1.7609	TRUE	NA
