Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0300190	2405	797	746	111	24	47	1243	1194	1051	57	33	58	605.82	1163	49	0.043	-4.548	-19.312	4.25786624203578e-83	9.59616604298815e-80	0.0132	0.0362	0.0292	0.0292	TRUE	NA
FBtr0074337	2035	1505	1138	148	85	70	1052	2254	1603	76	117	87	864.55	1636	93	0.059	-4.089	-16.921	3.13799379145462e-64	4.71483567166057e-61	0.0403	0.033	0.0365	0.0365	TRUE	NA
FBtr0111030	6171	1226	985	666	132	170	3189	1836	1387	340	181	211	1190.78	2137	244	0.116	-3.105	-16.141	1.31147860521812e-58	1.47787245325517e-55	0.0179	0.031	0.0239	0.0239	TRUE	NA
FBtr0070985	1416	399	365	105	37	37	732	598	514	54	51	46	332.28	615	50	0.081	-3.622	-16.088	3.09476611320874e-58	3.09992405673075e-55	0.0075	0.045	0.0254	0.0254	TRUE	NA
FBtr0085755	767	320	331	46	14	28	396	479	466	24	19	35	236.53	447	26	0.058	-4.101	-15.041	3.97168966652148e-51	3.58047823436912e-48	0	0.0529	0.0337	0.0337	TRUE	NA
FBtr0302694	3011	1194	1189	564	253	314	1556	1788	1674	288	348	389	1007.33	1673	342	0.203	-2.301	-14.959	1.36911583888926e-50	1.12205266250788e-47	0.0031	0.032	0.0152	0.0152	TRUE	NA
FBtr0310637	676	489	516	74	44	34	349	732	727	38	60	42	324.79	603	47	0.082	-3.608	-14	1.55186391413152e-44	1.07615793737659e-41	0.0256	0.0455	0.0367	0.0367	TRUE	NA
FBtr0073421	11202	3237	3837	126	32	151	5789	4847	5404	64	44	187	2722.57	5347	98	0.018	-5.807	-13.16	1.48599010534372e-39	8.93080053311574e-37	0.326	0.0279	0.135	0.135	TRUE	NA
FBtr0089484	1395	442	447	213	51	49	721	662	630	109	70	61	375.34	671	80	0.118	-3.086	-12.885	5.47506995995323e-38	3.08485973056115e-35	0	0.0428	0.0338	0.0338	TRUE	NA
FBtr0078144	10951	3766	2397	1164	483	449	5659	5640	3376	595	664	557	2748.35	4892	605	0.124	-3.008	-12.459	1.24470736734851e-35	5.90580890349832e-33	0.0546	0.0279	0.041	0.041	TRUE	NA
FBtr0299968	2277	879	1073	492	294	283	1177	1316	1511	251	404	351	835.11	1335	335	0.247	-2.016	-11.47	1.87458505661761e-30	8.04732585019416e-28	0.0101	0.0333	0.0203	0.0203	TRUE	NA
FBtr0072087	1737	669	614	434	159	140	898	1002	865	222	219	174	563.03	922	205	0.222	-2.168	-11.359	6.69597254383433e-30	2.74382693103029e-27	0.0109	0.037	0.0231	0.0231	TRUE	NA
FBtr0308065	2958	770	925	935	214	264	1529	1153	1303	478	294	327	847.3	1328	366	0.273	-1.874	-11.034	2.61010106805857e-28	1.02304613602383e-25	0.0078	0.0332	0.0188	0.0188	TRUE	NA
FBtr0087295	2017	574	676	724	218	235	1042	860	952	370	300	291	635.84	951	320	0.336	-1.572	-9.974	1.98132037779945e-23	6.86984738687002e-21	0	0.0357	0.0156	0.0156	TRUE	NA
FBtr0071934	2632	870	1155	680	347	348	1360	1303	1627	348	477	432	924.28	1430	419	0.29	-1.785	-9.957	2.34196041873123e-23	7.81954562031927e-21	0.013	0.0325	0.0216	0.0216	TRUE	NA
FBtr0073423	3319	583	819	387	113	51	1715	873	1153	198	155	63	692.99	1247	139	0.11	-3.182	-9.947	2.59750018299021e-23	8.36302291059169e-21	0.1209	0.0349	0.0689	0.0689	TRUE	NA
FBtr0112851	2172	620	628	735	213	187	1122	928	884	376	293	232	639.28	978	300	0.305	-1.715	-9.648	4.98871531672505e-22	1.49910895267588e-19	0.0066	0.0357	0.0203	0.0203	TRUE	NA
FBtr0077234	5787	2196	2096	2058	925	1043	2990	3289	2952	1052	1272	1294	2141.31	3077	1206	0.39	-1.359	-9.644	5.22633765248188e-22	1.51985270764917e-19	0.0044	0.0286	0.0137	0.0137	TRUE	NA
FBtr0344980	3769	1765	1589	1402	538	520	1948	2643	2238	717	740	645	1488.27	2276	701	0.31	-1.69	-9.634	5.72858712629811e-22	1.6138504044868e-19	0.0145	0.0299	0.0212	0.0212	TRUE	NA
FBtr0334867	2134	498	661	115	48	111	1103	746	931	59	66	138	506.97	927	88	0.092	-3.439	-9.624	6.30402376842948e-22	1.72214467492096e-19	0.1521	0.0383	0.0855	0.0855	TRUE	NA
FBtr0089963	1929	493	465	457	165	170	997	738	655	234	227	211	510.2	797	224	0.283	-1.821	-9.511	1.88635661536379e-21	5.00161908456016e-19	0.0115	0.0382	0.0233	0.0233	TRUE	NA
FBtr0333662	1167	526	369	279	70	85	603	788	520	143	96	105	375.78	637	115	0.18	-2.476	-9.306	1.33090826358278e-20	3.3328161100552e-18	0.0489	0.0427	0.0456	0.0456	TRUE	NA
FBtr0089361	1070	395	364	354	105	126	553	592	513	181	144	156	356.44	553	160	0.291	-1.779	-9.091	9.82071932561842e-20	2.32983644001184e-17	0	0.0437	0.0234	0.0234	TRUE	NA
FBtr0080565	3579	732	977	1258	301	371	1849	1096	1376	643	414	460	973.07	1440	506	0.351	-1.508	-8.903	5.44045536372322e-19	1.22614262759912e-16	0.0092	0.0322	0.0191	0.0191	TRUE	NA
FBtr0303384	3045	1221	589	552	125	122	1574	1828	829	282	172	151	806.12	1410	202	0.139	-2.848	-8.847	8.993968618686e-19	1.97757627066962e-16	0.1085	0.0336	0.0714	0.0714	TRUE	NA
FBtr0082139	749	168	148	94	30	41	387	252	208	48	41	51	164.53	282	47	0.167	-2.578	-8.788	1.52369908245309e-18	3.27051124483682e-16	0.0321	0.0648	0.0485	0.0485	TRUE	NA
FBtr0307289	1257	577	579	209	185	130	650	864	815	107	254	161	475.23	776	174	0.215	-2.216	-8.778	1.66401795731443e-18	3.48863299655572e-16	0.0458	0.0391	0.0423	0.0423	TRUE	NA
FBtr0087307	1934	837	913	707	302	247	999	1253	1286	361	415	306	770.24	1179	361	0.309	-1.696	-8.681	3.93261595016008e-18	8.05739381606663e-16	0.0181	0.0339	0.0256	0.0256	TRUE	NA
FBtr0113113	1036	245	293	234	89	92	535	367	413	120	122	114	278.49	438	119	0.271	-1.883	-8.675	4.12974987635648e-18	8.27326558563416e-16	0.0112	0.0488	0.0282	0.0282	TRUE	NA
FBtr0306917	38996	16464	20467	16882	8751	10132	20151	24655	28823	8628	12029	12567	17809.2	24543	11075	0.449	-1.155	-8.658	4.80133692258897e-18	9.40957659937816e-16	0.0049	0.0259	0.0128	0.0128	TRUE	NA
FBtr0070457	2875	973	879	1230	375	425	1486	1457	1238	629	515	527	975.32	1394	557	0.399	-1.325	-8.59	8.70448390467981e-18	1.66959409363167e-15	0.0046	0.0322	0.0158	0.0158	TRUE	NA
FBtr0075077	914	253	196	203	28	49	472	379	276	104	38	61	221.7	376	68	0.175	-2.516	-8.565	1.07756126020253e-17	2.02379474181787e-15	0.0486	0.0547	0.0519	0.0519	TRUE	NA
FBtr0345022	3256	20686	19594	1301	9328	8110	1683	30978	27594	665	12823	10059	13966.88	20085	7849	0.392	-1.351	-8.535	1.40589366655726e-17	2.53482628080274e-15	0.012	0.026	0.0178	0.0178	TRUE	NA
FBtr0073269	6532	1621	1471	2434	291	365	3375	2427	2072	1244	400	453	1661.88	2625	699	0.237	-2.074	-8.506	1.80326980928653e-17	3.1875445746506e-15	0.0543	0.0294	0.0416	0.0416	TRUE	NA
FBtr0329957	1727	847	995	765	322	356	892	1268	1401	391	443	442	806.21	1187	425	0.365	-1.455	-8.45	2.9091077028316e-17	4.9482275360428e-15	0.0096	0.0336	0.0197	0.0197	TRUE	NA
FBtr0087533	10009	3583	3867	3701	1795	2072	5172	5366	5446	1892	2467	2570	3818.79	5328	2310	0.43	-1.219	-8.437	3.26365748430785e-17	5.44849485574728e-15	0.0066	0.0272	0.0147	0.0147	TRUE	NA
FBtr0344981	3763	509	490	273	116	118	1945	762	690	140	159	146	640.36	1132	148	0.147	-2.77	-8.366	5.96554259414904e-17	9.77806663386428e-15	0.123	0.0356	0.0747	0.0747	TRUE	NA
FBtr0089359	872	163	174	152	42	56	451	244	245	78	58	69	190.77	313	68	0.223	-2.166	-8.33	8.05191321469012e-17	1.29621424340056e-14	0.0196	0.0594	0.0388	0.0388	TRUE	NA
FBtr0112532	266	48	85	11	1	1	137	72	120	6	1	1	56.21	110	3	0.026	-5.253	-8.212	2.16811628257641e-16	3.36992556679764e-14	0	0.1406	0.1253	0.1253	TRUE	NA
FBtr0345142	7839	1845	1901	3318	892	769	4051	2763	2677	1696	1226	954	2227.79	3164	1292	0.407	-1.298	-8.18	2.84740549292607e-16	4.20809188831614e-14	0.0092	0.0284	0.0175	0.0175	TRUE	NA
FBtr0080932	703	221	329	129	50	86	363	331	463	66	69	107	233.15	386	81	0.206	-2.277	-8.156	3.46479132868071e-16	4.95795140127882e-14	0.043	0.0533	0.0485	0.0485	TRUE	NA
FBtr0332500	3925	1171	1050	1639	436	563	2028	1754	1479	838	599	698	1232.65	1754	712	0.406	-1.302	-8.156	3.45674189428583e-16	4.95795140127882e-14	0.0073	0.0308	0.0173	0.0173	TRUE	NA
FBtr0082039	75	122	191	10	23	18	39	183	269	5	32	22	91.58	164	20	0.122	-3.031	-7.981	1.44903746024027e-15	2.00970349293323e-13	0.0383	0.0962	0.0681	0.0681	TRUE	NA
FBtr0078083	3964	778	909	1152	286	424	2048	1165	1280	589	393	526	1000.24	1498	503	0.343	-1.544	-7.878	3.32518030715464e-15	4.47410454761181e-13	0.021	0.032	0.0262	0.0262	TRUE	NA
FBtr0072561	489	144	169	85	42	50	253	216	238	43	58	62	144.92	236	54	0.226	-2.147	-7.842	4.43564266123606e-15	5.79526356391928e-13	0.0152	0.0702	0.0423	0.0423	TRUE	NA
FBtr0302692	3397	574	578	566	190	228	1755	860	814	289	261	283	710.37	1143	278	0.258	-1.956	-7.803	6.03854793543483e-15	7.6672548785838e-13	0.0509	0.0346	0.0427	0.0427	TRUE	NA
FBtr0070393	620	205	228	153	71	86	320	307	321	78	98	107	205.16	316	94	0.293	-1.77	-7.712	1.23824433089648e-14	1.51504034391795e-12	0	0.0571	0.0309	0.0309	TRUE	NA
FBtr0446106	218	189	186	60	26	30	113	283	262	31	36	37	126.87	219	35	0.173	-2.534	-7.65	2.006773605799e-14	2.4121418741704e-12	0.0488	0.0765	0.0629	0.0629	TRUE	NA
FBtr0302322	194	183	185	35	55	51	100	274	261	18	76	63	131.93	212	52	0.23	-2.118	-7.64	2.17410572588779e-14	2.57888988406295e-12	0.0096	0.0746	0.0419	0.0419	TRUE	NA
FBtr0307057	348	183	272	85	62	73	180	274	383	43	85	91	176.02	279	73	0.258	-1.953	-7.599	2.97989537400114e-14	3.48879958397666e-12	0.0186	0.0623	0.0388	0.0388	TRUE	NA
FBtr0087789	449	150	170	108	42	59	232	225	239	55	58	73	147.03	232	62	0.265	-1.915	-7.588	3.24385781195567e-14	3.74915104804876e-12	0	0.0695	0.0355	0.0355	TRUE	NA
FBtr0087115	234	75	81	40	9	10	121	112	114	20	12	12	65.42	116	15	0.132	-2.923	-7.58	3.44521840776488e-14	3.88233049325004e-12	0	0.1244	0.0694	0.0694	TRUE	NA
FBtr0300599	1517	296	426	533	122	150	784	443	600	272	168	186	408.88	609	209	0.342	-1.547	-7.498	6.46044159620428e-14	7.10254646216848e-12	0.0146	0.0414	0.027	0.027	TRUE	NA
FBtr0076771	1119	510	535	350	242	200	578	764	753	179	333	248	475.84	698	253	0.356	-1.492	-7.453	9.15476841396534e-14	9.82502824427352e-12	0.0142	0.0391	0.0261	0.0261	TRUE	NA
FBtr0078937	873	467	518	398	174	222	451	699	729	203	239	275	432.99	626	239	0.39	-1.36	-7.409	1.27474302126467e-13	1.35197745137659e-11	0.0062	0.0405	0.0213	0.0213	TRUE	NA
FBtr0308254	6184	1033	736	1052	322	287	3196	1547	1036	538	443	356	1185.89	1926	446	0.252	-1.991	-7.38	1.5844196170924e-13	1.64178653426298e-11	0.0727	0.031	0.0508	0.0508	TRUE	NA
