Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0112994	60	23	60	8888	5003	5276	31	34	84	4543	6877	6544	3019.02	50	5988	123.25	6.945	24.627	6.4451382937491e-134	5.81029217181481e-130	0.0938	0.0277	0.0463	0.0463	TRUE	NA
FBtr0073426	549	268	262	4784	2222	2631	284	401	369	2445	3054	3263	1636.16	351	2921	8.348	3.061	21.888	3.4038485177109e-106	1.53428471935819e-102	0.0012	0.0295	0.0124	0.0124	TRUE	NA
FBtr0340240	529	102	102	5508	1146	1066	273	153	144	2815	1575	1322	1047.08	190	1904	9.973	3.318	19.459	2.466982147635e-84	7.41328135364317e-81	0.0064	0.0317	0.0172	0.0172	TRUE	NA
FBtr0301964	145	145	135	1290	1126	1369	75	217	190	659	1548	1698	731.24	161	1302	8.243	3.043	17.932	6.66658666821917e-72	1.20198557627992e-68	0.003	0.0344	0.0168	0.0168	TRUE	NA
FBtr0342810	333	94	91	4643	1449	1090	172	141	128	2373	1992	1352	1026.32	147	1906	12.909	3.69	16.838	1.27442498447741e-63	1.64127731929483e-60	0.0289	0.0318	0.0303	0.0303	TRUE	NA
FBtr0087258	963	265	242	5327	2285	2110	498	397	341	2723	3141	2617	1619.36	412	2827	6.905	2.788	14.323	1.56368637951122e-46	1.1747193926078e-43	0.0223	0.0295	0.0257	0.0257	TRUE	NA
FBtr0305073	191	92	67	1608	583	696	99	138	94	822	801	863	469.57	110	829	7.581	2.922	13.774	3.62917433738425e-43	2.33692904653707e-40	0.0093	0.0393	0.0268	0.0268	TRUE	NA
FBtr0342814	677	213	248	2927	1632	1739	350	319	349	1496	2243	2157	1152.41	339	1965	5.673	2.504	12.78	2.10990585350503e-37	1.11887066290281e-34	0.0212	0.0312	0.0258	0.0258	TRUE	NA
FBtr0081619	132	39	60	945	390	515	68	58	84	483	536	639	311.5	70	553	7.767	2.957	12.554	3.77330029036003e-36	1.88979456208865e-33	0.0135	0.0463	0.0314	0.0314	TRUE	NA
FBtr0076772	948	252	301	3104	1006	1183	490	377	424	1586	1383	1467	954.64	430	1479	3.44	1.782	11.894	1.27882071712275e-32	5.76428438243079e-30	0.0014	0.0323	0.0145	0.0145	TRUE	NA
FBtr0085155	990	343	432	2901	1315	1530	512	514	608	1483	1808	1898	1136.96	545	1730	3.156	1.658	10.69	1.1363055094292e-26	4.26824756979342e-24	0.0046	0.0312	0.016	0.016	TRUE	NA
FBtr0088136	74	21	49	1084	309	399	38	31	69	554	425	495	268.73	46	491	10.771	3.429	10.495	9.06868109234801e-26	3.27016640190069e-23	0.088	0.0496	0.0638	0.0638	TRUE	NA
FBtr0346714	149	13	13	1173	451	515	77	19	18	600	620	639	328.84	38	620	19.199	4.263	9.923	3.31335174671045e-23	1.02999537919292e-20	0.2264	0.0452	0.1135	0.1135	TRUE	NA
FBtr0076454	1477	468	652	4493	1668	2060	763	701	918	2296	2293	2555	1587.79	794	2381	2.999	1.584	9.347	9.04106634782302e-21	2.32872037501784e-18	0.0126	0.0296	0.0198	0.0198	TRUE	NA
