Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
cdna	13106500	4303140	4728490	12167800	4628480	5195110	6772788	6444063	6659070	6219000	6362443	6443894	6483542.78	6625307	6341779	0.957	-0.063	-0.517	0.605037483985637	0.994737151355003	5e-04	0.0882	0.0107	0.0107	TRUE	0.007
FBgn0013687	1	0	0	7	0	1	1	0	0	4	0	1	0.89	0	2	4.853	2.279	0.915	0.360306036445359	NA	0	5.2619	3.2638	3.2638	TRUE	0.1745
FBtr0006151	3	0	1	3	1	1	2	0	1	2	1	1	1.18	1	1	1.296	0.374	0.227	0.820275389503653	NA	0	3.9719	1.1232	1.1232	TRUE	0.2507
FBtr0070028	124	27	40	226	22	26	64	40	56	116	30	32	56.47	53	59	1.119	0.162	0.263	0.792614245312145	0.999426402835281	0.2989	0.1697	0.2551	0.2551	TRUE	6.9423
FBtr0070029	4	3	2	3	1	2	2	4	3	2	1	2	2.46	3	2	0.591	-0.758	-0.641	0.521474669682659	NA	0	1.9576	0.5571	0.5571	TRUE	0.2723
FBtr0070032	8	5	2	8	6	6	4	7	3	4	8	7	5.7	5	6	1.351	0.434	0.515	0.606728119213948	NA	0	0.8948	0.3221	0.3221	TRUE	0.5721
FBtr0070034	1	1	0	2	1	1	1	1	0	1	1	1	0.94	1	1	1.886	0.915	0.492	0.622429049387652	NA	0	4.972	1.3352	1.3352	TRUE	0.2134
FBtr0070036	2163	839	1079	2259	1056	1290	1118	1256	1520	1155	1452	1600	1350	1298	1402	1.08	0.111	0.466	0.641490360750521	0.994737151355003	0.0252	0.0916	0.0404	0.0404	TRUE	0.2928
FBtr0070046	458	111	119	681	94	110	237	166	168	348	129	136	197.37	190	204	1.079	0.11	0.233	0.815495256742896	0.999426402835281	0.1714	0.1115	0.1547	0.1547	TRUE	4.3628
FBtr0070052	1465	348	551	1408	499	764	757	521	776	720	686	948	734.56	685	785	1.144	0.194	0.714	0.475032052407266	0.983825348269689	0.0368	0.0945	0.0517	0.0517	TRUE	0.5008
