Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0300190	2405	797	746	111	24	47	1243	1194	1051	57	33	58	605.82	1163	49	0.043	-4.536	-16.283	1.31022348219461e-59	1.24851195618324e-55	0.014	0.0958	0.0455	0.0455	TRUE	0.5264
FBtr0085755	767	320	331	46	14	28	396	479	466	24	19	35	236.53	447	26	0.057	-4.123	-13.717	8.02087098142806e-43	2.5476959860676e-39	0.0106	0.1077	0.0449	0.0449	TRUE	0.4241
FBtr0070985	1416	399	365	105	37	37	732	598	514	54	51	46	332.28	615	50	0.082	-3.61	-13.528	1.06836094892827e-41	2.54510287058438e-38	0.0205	0.1021	0.0406	0.0406	TRUE	0.1102
FBtr0074337	2035	1505	1138	148	85	70	1052	2254	1603	76	117	87	864.55	1636	93	0.057	-4.143	-11.148	7.29412040212282e-29	6.95056733118283e-26	0.0937	0.0935	0.0936	0.0936	TRUE	0.0646
FBtr0302694	3011	1194	1189	564	253	314	1556	1788	1674	288	348	389	1007.33	1673	342	0.204	-2.296	-11.119	1.009830986709e-28	8.74789042940916e-26	0.0108	0.0928	0.0289	0.0289	TRUE	0.2355
FBtr0073421	11202	3237	3837	126	32	151	5789	4847	5404	64	44	187	2722.57	5347	98	0.018	-5.766	-10.974	5.10447858534205e-28	4.05338136997703e-25	0.2624	0.0899	0.1936	0.1936	TRUE	5.6866
FBtr0078144	10951	3766	2397	1164	483	449	5659	5640	3376	595	664	557	2748.35	4892	605	0.124	-3.015	-10.658	1.59212483798858e-26	1.16702750624563e-23	0.0449	0.0899	0.0567	0.0567	TRUE	0.8927
FBtr0072087	1737	669	614	434	159	140	898	1002	865	222	219	174	563.03	922	205	0.223	-2.166	-10.563	4.44584056364326e-26	3.02602962363976e-23	0.0072	0.0964	0.0272	0.0272	TRUE	0.1809
FBtr0089484	1395	442	447	213	51	49	721	662	630	109	70	61	375.34	671	80	0.121	-3.045	-10.186	2.28160764760579e-24	1.35883995462722e-21	0.0381	0.1005	0.0573	0.0573	TRUE	1.1302
FBtr0310637	676	489	516	74	44	34	349	732	727	38	60	42	324.79	603	47	0.077	-3.698	-9.115	7.8675612791616e-20	4.16499952384061e-17	0.1088	0.1024	0.1067	0.1067	TRUE	1.6447
FBtr0089361	1070	395	364	354	105	126	553	592	513	181	144	156	356.44	553	160	0.293	-1.773	-8.624	6.47322782064215e-18	2.80379035922268e-15	0.0051	0.1011	0.0263	0.0263	TRUE	0.1525
FBtr0334867	2134	498	661	115	48	111	1103	746	931	59	66	138	506.97	927	88	0.094	-3.415	-8.518	1.61913266776633e-17	6.70813703962842e-15	0.1158	0.0973	0.1093	0.1093	TRUE	0.4993
FBtr0333662	1167	526	369	279	70	85	603	788	520	143	96	105	375.78	637	115	0.182	-2.459	-8.359	6.33038727139733e-17	2.51342751288105e-14	0.0384	0.1005	0.057	0.057	TRUE	0.2271
FBtr0344980	3769	1765	1589	1402	538	520	1948	2643	2238	717	740	645	1488.27	2276	701	0.308	-1.699	-8.259	1.47400019790964e-16	5.40221072533881e-14	0.0129	0.0913	0.0295	0.0295	TRUE	0.1257
FBtr0072561	489	144	169	85	42	50	253	216	238	43	58	62	144.92	236	54	0.226	-2.143	-7.967	1.62824660261381e-15	5.3501937504507e-13	0.0095	0.12	0.0405	0.0405	TRUE	0.3773
FBtr0071934	2632	870	1155	680	347	348	1360	1303	1627	348	477	432	924.28	1430	419	0.292	-1.776	-7.877	3.34590223247783e-15	1.0315270727773e-12	0.0173	0.0932	0.035	0.035	TRUE	0.2731
FBtr0087789	449	150	170	108	42	59	232	225	239	55	58	73	147.03	232	62	0.265	-1.916	-7.877	3.35579171540522e-15	1.0315270727773e-12	0	0.1195	0.0322	0.0322	TRUE	0.1931
FBtr0087115	234	75	81	40	9	10	121	112	114	20	12	12	65.42	116	15	0.137	-2.868	-7.847	4.27167297460352e-15	1.23347793257567e-12	0	0.1585	0.0612	0.0612	TRUE	0.7736
FBtr0112532	266	48	85	11	1	1	137	72	120	6	1	1	56.21	110	3	0.03	-5.053	-7.684	1.53921808575856e-14	4.31388504093922e-12	0.1603	0.17	0.1657	0.1657	TRUE	1.1619
FBtr0070393	620	205	228	153	71	86	320	307	321	78	98	107	205.16	316	94	0.294	-1.765	-7.606	2.8252521246319e-14	7.69195071303352e-12	0.0046	0.1106	0.0316	0.0316	TRUE	0.2786
FBtr0077234	5787	2196	2096	2058	925	1043	2990	3289	2952	1052	1272	1294	2141.31	3077	1206	0.391	-1.353	-7.562	3.97005007259038e-14	1.05085019838094e-11	0.0071	0.0904	0.0225	0.0225	TRUE	0.1543
