Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0112994	60	23	60	8888	5003	5276	31	34	84	4543	6877	6544	3019.02	50	5988	121.579	6.926	15.697	1.57834102958414e-55	7.52000583545362e-52	0.1545	0.0897	0.1289	0.1289	TRUE	2.5946
FBtr0305073	191	92	67	1608	583	696	99	138	94	822	801	863	469.57	110	829	7.579	2.922	12.54	4.53118379027483e-36	8.63553006750578e-33	0.0036	0.098	0.0335	0.0335	TRUE	0.4032
FBtr0073426	549	268	262	4784	2222	2631	284	401	369	2445	3054	3263	1636.16	351	2921	8.345	3.061	12.524	5.49798276311943e-36	8.73171295829417e-33	0.0232	0.091	0.0413	0.0413	TRUE	0.3513
FBtr0342810	333	94	91	4643	1449	1090	172	141	128	2373	1992	1352	1026.32	147	1906	12.903	3.69	12.114	8.87170294213119e-34	1.20769224765097e-30	0.0514	0.0927	0.0628	0.0628	TRUE	0.1125
FBtr0087258	963	265	242	5327	2285	2110	498	397	341	2723	3141	2617	1619.36	412	2827	6.838	2.774	11.963	5.54646477982729e-33	6.60653286087179e-30	0.0213	0.0911	0.0372	0.0372	TRUE	0.4079
FBtr0081619	132	39	60	945	390	515	68	58	84	483	536	639	311.5	70	553	7.854	2.974	11.391	4.63267570833896e-30	4.90497409164021e-27	0.0168	0.103	0.0404	0.0404	TRUE	0.1733
FBtr0342814	677	213	248	2927	1632	1739	350	319	349	1496	2243	2157	1152.41	339	1965	5.783	2.532	10.368	3.45515434049808e-25	2.19494438070708e-22	0.0258	0.0922	0.041	0.041	TRUE	0.5357
FBtr0088136	74	21	49	1084	309	399	38	31	69	554	425	495	268.73	46	491	10.747	3.426	9.775	1.43725163289458e-22	8.05621812344259e-20	0.0564	0.1053	0.0755	0.0755	TRUE	0.6759
FBtr0076772	948	252	301	3104	1006	1183	490	377	424	1586	1383	1467	954.64	430	1479	3.425	1.776	9.062	1.28337021040004e-19	6.43643933415895e-17	0.0088	0.093	0.026	0.026	TRUE	0.1813
FBtr0077831	71	19	27	331	152	154	37	28	38	169	209	191	112.05	34	190	5.438	2.443	8.638	5.69831571206627e-18	2.71496252101397e-15	0	0.1293	0.0398	0.0398	TRUE	0.104
FBtr0113386	19	6	5	229	84	71	10	9	7	117	115	88	57.74	9	107	12.075	3.594	8.63	6.11601643804473e-18	2.77521526848229e-15	0	0.1679	0.0638	0.0638	TRUE	0.2183
FBtr0342607	29	16	15	265	92	116	15	24	21	135	126	144	77.64	20	135	7.067	2.821	8.324	8.49113085246143e-17	3.2364794357242e-14	0	0.1475	0.052	0.052	TRUE	0.5164
FBtr0076454	1477	468	652	4493	1668	2060	763	701	918	2296	2293	2555	1587.79	794	2381	3	1.585	8.213	2.15803706310054e-16	7.61627228677225e-14	0.0107	0.0911	0.0259	0.0259	TRUE	0.215
FBtr0085155	990	343	432	2901	1315	1530	512	514	608	1483	1808	1898	1136.96	545	1730	3.177	1.668	8.173	3.00836408433671e-16	1.02381076284445e-13	0.0125	0.0923	0.0287	0.0287	TRUE	0.1917
FBtr0340240	529	102	102	5508	1146	1066	273	153	144	2815	1575	1322	1047.08	190	1904	9.977	3.319	7.856	3.96911054790265e-15	1.18192670034264e-12	0.1422	0.0926	0.1254	0.1254	TRUE	0.7251
FBtr0332963	149	58	53	556	175	195	77	87	75	284	241	242	167.52	80	256	3.237	1.695	7.316	2.55733430155284e-13	5.51900372265403e-11	0	0.1157	0.0299	0.0299	TRUE	0.1183
FBtr0077236	353	100	83	1070	360	407	182	150	117	547	495	505	332.61	150	516	3.414	1.772	7.092	1.31729559253625e-12	2.67074674495275e-10	0.0189	0.102	0.0403	0.0403	TRUE	0.4435
FBtr0333073	435	138	126	1256	447	416	225	207	177	642	614	516	396.88	203	591	2.901	1.536	7.061	1.65199742151868e-12	3.27955904784407e-10	0.0108	0.0998	0.0305	0.0305	TRUE	0.1418
FBtr0346714	149	13	13	1173	451	515	77	19	18	600	620	639	328.84	38	620	15.661	3.969	7.022	2.1947917667738e-12	4.26819811134441e-10	0.2984	0.1022	0.2153	0.2153	TRUE	7.2334
FBtr0075699	733	89	205	3655	1245	1463	379	133	289	1868	1711	1815	1032.49	267	1798	6.706	2.746	6.892	5.48203699607711e-12	1.02428099089449e-09	0.122	0.0927	0.1119	0.1119	TRUE	2.0332
FBtr0071004	32	11	14	166	60	92	17	16	20	85	82	114	55.69	18	94	5.37	2.425	6.645	3.02829520446126e-11	5.34381944505765e-09	0	0.1708	0.0607	0.0607	TRUE	0.3195
FBtr0302833	567	211	177	1275	557	591	293	316	249	652	766	733	501.44	286	717	2.501	1.323	6.618	3.64342947241288e-11	6.19968561475399e-09	0.0067	0.0974	0.0261	0.0261	TRUE	0.1304
