Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0013687	1	0	0	7	0	1	1	0	0	4	0	1	0.89	0	2	3.557	1.831	0.604	0.545708454710093	NA	0	7.3554	5.3191	5.3191	TRUE	NA
FBtr0005088	10274	3376	3548	10798	3491	3754	5317	5057	4997	5514	4794	4657	5056.01	5124	4988	0.972	-0.041	-0.347	0.728799429467605	0.9352766345835	0.0011	0.0272	0.0101	0.0101	TRUE	NA
FBtr0006151	3	0	1	3	1	1	2	0	1	2	1	1	1.18	1	1	1.408	0.494	0.24	0.810549635804805	NA	0	5.5257	2.0848	2.0848	TRUE	NA
FBtr0070000	6	3	4	6	3	3	3	4	6	3	4	4	4.02	4	4	0.846	-0.241	-0.219	0.826421471848618	NA	0	1.6452	0.6143	0.6143	TRUE	NA
FBtr0070002	11	1	1	7	1	0	6	1	1	4	1	0	2.26	3	2	0.535	-0.902	-0.524	0.600222117595241	NA	0	2.9112	1.3449	1.3449	TRUE	NA
FBtr0070003	56	14	13	62	30	35	29	21	18	32	41	43	30.76	23	39	1.667	0.737	1.511	0.130771252624392	0.48543458431359	0	0.2377	0.1343	0.1343	TRUE	NA
FBtr0070006	184	157	108	171	116	121	95	235	152	87	159	150	146.54	161	132	0.838	-0.255	-0.927	0.354092838869689	0.747740929338908	0.0261	0.0704	0.0474	0.0474	TRUE	NA
FBtr0070007	1120	352	402	1054	412	435	580	527	566	538	566	540	552.79	558	548	0.981	-0.028	-0.181	0.856701367688715	0.969608363479717	0	0.0377	0.0154	0.0154	TRUE	NA
FBtr0070008	379	130	151	434	174	211	196	195	213	222	239	262	220.98	201	241	1.192	0.254	1.269	0.204457248976603	0.606144465133182	0	0.0554	0.024	0.024	TRUE	NA
FBtr0070025	1807	1107	1134	1643	1149	1068	935	1658	1597	839	1578	1325	1322.05	1397	1247	0.893	-0.163	-1.104	0.269681110046872	0.679677555934402	0.0043	0.0309	0.0149	0.0149	TRUE	NA
FBtr0070026	673	271	304	681	350	382	348	406	428	348	481	474	414.11	394	434	1.091	0.125	0.749	0.453733565014163	0.819789225184182	0	0.0417	0.0176	0.0176	TRUE	NA
FBtr0070027	640	239	263	817	325	295	331	358	370	417	446	366	381.52	353	410	1.164	0.219	1.18	0.237821688202803	0.644995168786721	0.0056	0.043	0.0219	0.0219	TRUE	NA
FBtr0070028	124	27	40	226	22	26	64	40	56	115	30	32	56.47	53	59	0.945	-0.082	-0.177	0.859536499768563	0.970640892212795	0.1224	0.1413	0.1317	0.1317	TRUE	NA
FBtr0070029	4	3	2	3	1	2	2	4	3	2	1	2	2.46	3	2	0.601	-0.734	-0.525	0.599701668592201	NA	0	2.6727	0.9689	0.9689	TRUE	NA
FBtr0070032	8	5	2	8	6	6	4	7	3	4	8	7	5.7	5	6	1.302	0.381	0.386	0.699228995846198	NA	0	1.1683	0.5159	0.5159	TRUE	NA
FBtr0070034	1	1	0	2	1	1	1	1	0	1	1	1	0.94	1	1	1.859	0.894	0.397	0.691503808127471	NA	0	6.9429	2.4597	2.4597	TRUE	NA
FBtr0070035	0	1	0	4	0	1	0	1	0	2	0	1	0.8	0	1	2.855	1.514	0.47	0.638640815607608	NA	0	8.2008	6.1665	6.1665	TRUE	NA
FBtr0070036	2163	839	1079	2259	1056	1290	1119	1257	1520	1154	1450	1600	1349.98	1299	1401	1.075	0.104	0.669	0.503471689911032	0.847067776149888	0.0068	0.0308	0.0167	0.0167	TRUE	NA
FBtr0070038	3378	967	923	4638	980	927	1748	1449	1300	2368	1346	1150	1560.12	1499	1621	1.04	0.056	0.291	0.771283087719754	0.946579443098096	0.0263	0.0301	0.0264	0.0264	TRUE	NA
FBtr0070040	13	28	9	49	23	33	7	42	13	25	32	41	26.48	21	33	1.865	0.899	1.364	0.172598613438975	0.557909514421994	0.2668	0.2719	0.2695	0.2695	TRUE	NA
FBtr0070041	1669	296	385	1545	323	374	864	443	542	789	444	464	590.97	616	566	0.918	-0.124	-0.733	0.463813573033655	0.825887562891425	0.0036	0.037	0.0184	0.0184	TRUE	NA
FBtr0070042	691	112	20	427	43	161	358	168	28	218	59	200	171.73	185	159	1.019	0.027	0.041	0.966954176939031	0.992212828881297	0.6271	0.0639	0.294	0.294	TRUE	NA
FBtr0070043	76	16	25	38	23	15	39	24	35	19	32	19	28.02	33	23	0.692	-0.53	-1.016	0.309532180671727	0.713994685973019	0.0553	0.2584	0.1574	0.1574	TRUE	NA
FBtr0070044	667	284	382	1324	364	269	345	425	538	676	500	334	469.71	436	503	1.138	0.186	0.587	0.557538041276731	0.873159069932067	0.1044	0.0398	0.0701	0.0701	TRUE	NA
FBtr0070045	165	43	65	518	66	67	85	64	92	265	91	83	113.27	80	146	1.597	0.676	1.68	0.0930068262132962	0.402312968428308	0.1263	0.0834	0.1044	0.1044	TRUE	NA
FBtr0070046	458	111	119	681	94	110	237	166	168	348	129	136	197.36	190	204	0.993	-0.01	-0.037	0.97080776992177	0.993017827205526	0.04	0.0589	0.049	0.049	TRUE	NA
FBtr0070050	5	2	2	3	2	2	3	3	3	2	3	2	2.53	3	2	0.769	-0.38	-0.281	0.779025405507901	NA	0	2.6041	0.9098	0.9098	TRUE	NA
FBtr0070052	1465	348	551	1408	499	764	758	521	776	719	685	948	734.59	685	784	1.144	0.193	0.786	0.432144153194778	0.807443654483545	0.0497	0.0348	0.0422	0.0422	TRUE	NA
FBtr0070053	10	4	4	6	2	1	5	6	6	3	3	1	3.98	6	2	0.426	-1.23	-1.047	0.295252356430701	NA	0	1.6646	0.6849	0.6849	TRUE	NA
FBtr0070054	5	3	2	2	2	2	3	4	3	1	3	2	2.69	3	2	0.581	-0.784	-0.584	0.559066974294486	NA	0	2.4465	0.8912	0.8912	TRUE	NA
FBtr0070055	671	263	415	971	343	564	347	394	585	496	471	700	498.71	442	556	1.271	0.345	1.348	0.177682235036949	0.566170104473825	0.0484	0.039	0.0452	0.0452	TRUE	NA
FBtr0070056	5	1	1	4	1	2	3	1	1	2	1	2	1.9	2	2	1.073	0.102	0.065	0.948272383444551	NA	0	3.4572	1.2101	1.2101	TRUE	NA
FBtr0070057	6	1	2	6	2	2	3	1	3	3	3	2	2.62	2	3	1.111	0.152	0.112	0.911119688777717	NA	0	2.5136	0.9184	0.9184	TRUE	NA
FBtr0070058	8652	2961	3041	6300	3070	3579	4477	4436	4283	3217	4216	4440	4178.14	4399	3958	0.891	-0.167	-1.033	0.301803805844629	0.708384576327202	0.0108	0.0275	0.0185	0.0185	TRUE	NA
FBtr0070059	383	83	116	137	112	99	198	124	163	70	154	123	138.75	162	116	0.684	-0.547	-1.441	0.149609479506135	0.521868329803264	0.1206	0.0729	0.096	0.096	TRUE	NA
FBtr0070060	265	89	101	353	139	186	137	133	142	180	191	231	169.1	137	201	1.448	0.534	2.318	0.0204427721520239	0.154223062746889	0	0.0645	0.0318	0.0318	TRUE	NA
FBtr0070061	401	123	173	365	114	152	208	184	244	186	157	189	194.49	212	177	0.838	-0.254	-1.073	0.283226500194304	0.692020861602582	0.0123	0.0594	0.035	0.035	TRUE	NA
FBtr0070062	193	199	428	496	182	235	100	298	603	253	250	292	299.25	334	265	0.955	-0.066	-0.144	0.885836078179689	0.978384945801066	0.28	0.0477	0.1476	0.1476	TRUE	NA
FBtr0070063	1131	358	341	978	321	371	585	536	480	499	441	460	500.39	534	467	0.875	-0.193	-1.21	0.226468982086968	0.631635308544941	0	0.039	0.0162	0.0162	TRUE	NA
FBtr0070064	570	120	151	606	159	199	295	180	213	309	218	247	243.68	229	258	1.133	0.18	0.869	0.384915244098736	0.771881158847283	0	0.0527	0.0263	0.0263	TRUE	NA
FBtr0070065	51	34	37	79	64	39	26	51	52	40	88	48	51.01	43	59	1.389	0.474	1.173	0.240956605059452	0.64762407645248	0.043	0.1536	0.0964	0.0964	TRUE	NA
FBtr0070066	2	0	0	2	1	0	1	0	0	1	1	0	0.57	0	1	1.749	0.807	0.231	0.816974836605101	NA	0	11.4227	7.3185	7.3185	TRUE	NA
FBtr0070067	2	0	0	2	1	0	1	0	0	1	1	0	0.57	0	1	1.749	0.807	0.231	0.816974836605101	NA	0	11.4227	7.3185	7.3185	TRUE	NA
FBtr0070068	2	0	0	2	1	0	1	0	0	1	1	0	0.57	0	1	1.749	0.807	0.231	0.816974836605101	NA	0	11.4227	7.3185	7.3185	TRUE	NA
FBtr0070069	0	0	1	1	1	1	0	0	1	1	1	1	0.76	0	1	2.63	1.395	0.508	0.611551549269493	NA	0	8.6484	3.9339	3.9339	TRUE	NA
FBtr0070070	149	57	51	291	77	90	77	85	72	149	106	112	100.05	78	122	1.566	0.647	2.254	0.0241743938142203	0.172823531741105	0.0082	0.091	0.0479	0.0479	TRUE	NA
FBtr0070071	489	111	171	702	202	229	253	166	241	358	277	284	263.35	220	306	1.392	0.477	2.121	0.0339000301306249	0.217442434672444	0.013	0.0507	0.032	0.032	TRUE	NA
FBtr0070072	2	0	0	0	0	0	1	0	0	0	0	0	0.17	0	0	0.381	-1.393	-0.344	0.730819870056959	NA	0	37.7889	10	10	TRUE	NA
