Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0342811	14657	4680	4083	697	183	220	7585	7011	5751	356	251	273	3537.73	6782	293	0.043	-4.537	-27.653	2.55869004559731e-168	4.52657855966621e-164	0.0099	0.0278	0.0175	0.0175	TRUE	NA
FBtr0100457	3087	885	832	236	55	53	1598	1326	1172	121	76	66	726.14	1365	88	0.063	-3.983	-19.501	1.08338467930524e-84	3.1943597269315e-81	0.0128	0.0349	0.0235	0.0235	TRUE	NA
FBtr0300190	2405	797	746	111	24	47	1245	1194	1051	57	33	58	606.19	1163	49	0.043	-4.55	-19.241	1.67060886295013e-82	3.69434267430634e-79	0.0132	0.0367	0.0296	0.0296	TRUE	NA
FBtr0084549	2490	751	893	81	37	54	1289	1125	1258	41	51	67	638.41	1224	53	0.042	-4.563	-19.044	7.37165023852358e-81	1.44902071521912e-77	0.0256	0.0361	0.0314	0.0314	TRUE	NA
FBtr0085094	101410	46896	59580	17936	10031	12131	52480	70249	83916	9159	13774	15050	40771.25	68882	12661	0.183	-2.452	-17.286	6.02216561810002e-67	9.68528472270977e-64	0.0071	0.0261	0.0145	0.0145	TRUE	NA
FBtr0074337	2035	1505	1138	148	85	70	1053	2254	1603	76	117	87	864.92	1637	93	0.059	-4.091	-16.896	4.79653951455569e-64	7.07129837933373e-61	0.0401	0.0335	0.0367	0.0367	TRUE	NA
FBtr0077645	5327	1954	2038	666	157	166	2757	2927	2870	340	216	206	1552.64	2851	254	0.087	-3.516	-16.528	2.29449609895139e-61	2.89942360618207e-58	0.0304	0.0301	0.0303	0.0303	TRUE	NA
FBtr0111030	6171	1226	985	666	132	170	3194	1837	1387	340	181	211	1191.6	2139	244	0.116	-3.107	-16.075	3.84709923539933e-58	4.53726883822996e-55	0.018	0.0314	0.0242	0.0242	TRUE	NA
FBtr0070985	1416	399	365	105	37	37	733	598	514	54	51	46	332.48	615	50	0.081	-3.623	-16.041	6.64897087050841e-58	7.35168397938527e-55	0.0076	0.0455	0.0256	0.0256	TRUE	NA
FBtr0075753	7338	2709	2389	1327	534	573	3797	4058	3365	678	733	711	2223.67	3740	707	0.189	-2.404	-15.908	5.5487199218913e-57	5.77425906695171e-54	0.0062	0.0289	0.0156	0.0156	TRUE	NA
FBtr0089348	4028	1083	1041	791	192	201	2084	1622	1466	404	264	249	1014.99	1724	306	0.176	-2.51	-15.878	9.06421176857023e-57	8.90860946654311e-54	0.0044	0.0324	0.0158	0.0158	TRUE	NA
FBtr0085755	767	320	331	46	14	28	397	479	466	23	19	35	236.65	447	26	0.058	-4.103	-14.997	7.66117393872868e-51	7.13335937631837e-48	0	0.0535	0.034	0.034	TRUE	NA
FBtr0072393	1894	668	784	266	128	145	980	1001	1104	136	176	180	596.08	1028	164	0.157	-2.667	-14.877	4.6783178533213e-50	4.13820605715536e-47	0	0.0369	0.0195	0.0195	TRUE	NA
FBtr0302694	3011	1194	1189	564	253	314	1558	1789	1675	288	347	390	1007.73	1674	342	0.203	-2.303	-14.871	5.08682440320639e-50	4.28528621510115e-47	0.0032	0.0324	0.0155	0.0155	TRUE	NA
FBtr0310637	676	489	516	74	44	34	350	733	727	38	60	42	324.92	603	47	0.082	-3.61	-13.985	1.92345470851128e-44	1.36111348993093e-41	0.0254	0.046	0.0368	0.0368	TRUE	NA
FBtr0071835	712	282	257	51	25	28	368	422	362	26	34	35	208	384	32	0.081	-3.627	-13.901	6.25212274296858e-44	4.25408859407143e-41	0	0.0573	0.032	0.032	TRUE	NA
FBtr0113470	1730	560	550	123	76	61	895	839	775	63	104	76	458.61	836	81	0.095	-3.403	-13.884	7.94507318698656e-44	5.20578850929552e-41	0.0318	0.0401	0.0363	0.0363	TRUE	NA
FBtr0073421	11202	3237	3837	126	32	151	5797	4849	5404	64	44	187	2724.31	5350	98	0.018	-5.809	-13.124	2.39573788732788e-39	1.46148272292129e-36	0.3267	0.0283	0.1359	0.1359	TRUE	NA
FBtr0089484	1395	442	447	213	51	49	722	662	630	109	70	61	375.53	671	80	0.118	-3.087	-12.872	6.4564008968312e-38	3.80733960886136e-35	0	0.0433	0.0339	0.0339	TRUE	NA
FBtr0290019	6546	2254	2494	1907	616	815	3388	3376	3513	974	846	1011	2184.57	3426	944	0.276	-1.859	-12.826	1.17468072575087e-37	6.70363765137377e-35	0.0047	0.0289	0.0144	0.0144	TRUE	NA
FBtr0072956	13495	5765	5087	1100	961	905	6984	8636	7165	562	1320	1123	4298.07	7595	1002	0.124	-3.006	-12.476	1.01103986231467e-35	5.26067829535553e-33	0.0558	0.0275	0.0413	0.0413	TRUE	NA
FBtr0078144	10951	3766	2397	1164	483	449	5667	5641	3376	594	663	557	2749.88	4895	605	0.124	-3.01	-12.428	1.85000886050811e-35	9.35100192892828e-33	0.0547	0.0283	0.0413	0.0413	TRUE	NA
FBtr0332260	1986	872	973	561	304	315	1028	1306	1370	286	417	391	799.85	1235	365	0.294	-1.768	-12.017	2.90445338891038e-33	1.42729680286704e-30	6e-04	0.0341	0.0138	0.0138	TRUE	NA
FBtr0074916	835	373	574	112	42	38	432	559	808	57	58	47	326.89	600	54	0.093	-3.422	-11.65	2.29819953126517e-31	1.04249866429775e-28	0.0591	0.0459	0.0522	0.0522	TRUE	NA
FBtr0299968	2277	879	1073	492	294	283	1178	1317	1511	251	404	351	835.4	1335	335	0.247	-2.017	-11.43	2.94466277569198e-30	1.29898112944528e-27	0.0102	0.0337	0.0205	0.0205	TRUE	NA
FBtr0072087	1737	669	614	434	159	140	899	1002	865	222	218	174	563.25	922	205	0.222	-2.17	-11.343	8.05886492536264e-30	3.39450903320454e-27	0.0107	0.0375	0.0233	0.0233	TRUE	NA
FBtr0335024	11505	3316	2192	1655	561	471	5954	4967	3087	845	770	584	2701.38	4669	733	0.159	-2.655	-11.161	6.34618070380557e-29	2.44065832241357e-26	0.0518	0.0283	0.0399	0.0399	TRUE	NA
FBtr0083967	853	252	289	129	52	65	441	377	407	66	71	81	240.65	408	73	0.176	-2.507	-11.113	1.0896455309823e-28	4.10147214651232e-26	0.0062	0.053	0.0283	0.0283	TRUE	NA
FBtr0076459	537	186	188	51	25	31	278	279	265	26	34	38	153.36	274	33	0.117	-3.093	-11.039	2.49101211219357e-28	9.18093651600344e-26	0	0.0684	0.0394	0.0394	TRUE	NA
FBtr0308065	2958	770	925	935	214	264	1531	1153	1303	477	294	328	847.64	1329	366	0.273	-1.875	-11.01	3.42967153794811e-28	1.23825141179265e-25	0.0081	0.0336	0.019	0.019	TRUE	NA
FBtr0085156	1670	905	987	223	29	44	864	1356	1390	114	40	55	636.39	1203	70	0.055	-4.189	-10.703	9.82164519435806e-27	3.47509450266777e-24	0.1963	0.0362	0.102	0.102	TRUE	NA
FBtr0334282	323	123	139	24	5	10	167	184	196	12	7	12	96.45	182	10	0.06	-4.062	-10.538	5.74795632728182e-26	1.95552106511428e-23	0.0161	0.0935	0.0597	0.0597	TRUE	NA
FBtr0334328	4054	1306	1560	879	484	483	2098	1956	2197	449	665	599	1327.36	2084	571	0.27	-1.889	-10.3	7.04582884002198e-25	2.2663228728878e-22	0.0168	0.0308	0.0231	0.0231	TRUE	NA
FBtr0072864	3477	897	1005	1324	384	448	1799	1344	1415	676	527	556	1052.95	1519	586	0.387	-1.371	-9.956	2.37996760238931e-23	7.38666786909989e-21	2e-04	0.0321	0.0124	0.0124	TRUE	NA
FBtr0087295	2017	574	676	724	218	235	1044	860	952	370	299	292	636.06	952	320	0.336	-1.574	-9.953	2.45190297439492e-23	7.47872681379665e-21	0	0.0362	0.0158	0.0158	TRUE	NA
FBtr0073423	3319	583	819	387	113	51	1718	873	1154	198	155	63	693.41	1248	139	0.11	-3.184	-9.938	2.84271526303284e-23	8.38174595305234e-21	0.1206	0.0353	0.0691	0.0691	TRUE	NA
FBtr0071934	2632	870	1155	680	347	348	1362	1303	1627	347	476	432	924.59	1431	418	0.29	-1.787	-9.926	3.20195015466093e-23	9.28618035837812e-21	0.013	0.033	0.0218	0.0218	TRUE	NA
FBtr0112878	1457	182	199	153	38	41	754	273	280	78	52	51	248.01	436	60	0.149	-2.748	-9.867	5.80248226545859e-23	1.62939228187663e-20	0.037	0.0522	0.0445	0.0445	TRUE	NA
FBtr0112851	2172	620	628	735	213	187	1124	929	885	375	292	232	639.51	979	300	0.304	-1.717	-9.638	5.53355497908018e-22	1.5060634020755e-19	0.0064	0.0361	0.0204	0.0204	TRUE	NA
FBtr0344980	3769	1765	1589	1402	538	520	1950	2644	2238	716	739	645	1488.7	2277	700	0.31	-1.692	-9.626	6.22463738945146e-22	1.66848575843615e-19	0.0143	0.0303	0.0213	0.0213	TRUE	NA
FBtr0302938	672	245	279	175	49	55	348	367	393	89	67	68	222.1	369	75	0.205	-2.289	-9.623	6.37895081428306e-22	1.68432863963405e-19	0.0117	0.0553	0.0325	0.0325	TRUE	NA
FBtr0334867	2134	498	661	115	48	111	1104	746	931	59	66	138	507.28	927	88	0.092	-3.44	-9.596	8.2992064004368e-22	2.12784435405982e-19	0.1527	0.0388	0.0861	0.0861	TRUE	NA
FBtr0077234	5787	2196	2096	2058	925	1043	2995	3290	2952	1051	1270	1294	2141.92	3079	1205	0.389	-1.361	-9.59	8.83157379760022e-22	2.23199102933351e-19	0.0045	0.029	0.0139	0.0139	TRUE	NA
FBtr0089963	1929	493	465	457	165	170	998	739	655	233	227	211	510.42	797	224	0.283	-1.823	-9.475	2.65591684794436e-21	6.52580902180329e-19	0.0116	0.0387	0.0236	0.0236	TRUE	NA
FBtr0333020	3063	1107	1433	1020	403	351	1585	1658	2018	521	553	435	1128.56	1754	503	0.288	-1.796	-9.47	2.81088875538312e-21	6.81197711938121e-19	0.0185	0.0317	0.0246	0.0246	TRUE	NA
FBtr0100375	843	511	550	253	96	101	436	765	775	129	132	125	393.78	659	129	0.204	-2.294	-9.393	5.83075422937548e-21	1.3939442307011e-18	0.0344	0.0425	0.0384	0.0384	TRUE	NA
FBtr0333662	1167	526	369	279	70	85	604	788	520	142	96	105	375.94	637	114	0.179	-2.478	-9.29	1.5389063699974e-20	3.58220955152947e-18	0.0488	0.0433	0.0458	0.0458	TRUE	NA
FBtr0089361	1070	395	364	354	105	126	554	592	513	181	144	156	356.56	553	160	0.291	-1.781	-9.074	1.15249544129321e-19	2.54859960648978e-17	0	0.0442	0.0235	0.0235	TRUE	NA
FBtr0337056	1895	422	300	302	94	91	981	632	423	154	129	113	405.26	679	132	0.201	-2.318	-8.987	2.53032694954471e-19	5.52642148943155e-17	0.0436	0.042	0.0428	0.0428	TRUE	NA
FBtr0336616	936	502	401	267	133	125	484	752	565	136	183	155	379.2	600	158	0.265	-1.917	-8.973	2.88068210000518e-19	6.1400177146014e-17	0.0166	0.0431	0.0288	0.0288	TRUE	NA
FBtr0344554	450	60	65	15	5	4	233	90	92	8	7	5	72.3	138	7	0.047	-4.411	-8.968	3.02730779759807e-19	6.3757264580128e-17	0.0499	0.116	0.087	0.087	TRUE	NA
FBtr0073339	2093	491	684	675	197	193	1083	736	963	345	271	239	606.11	927	285	0.306	-1.707	-8.927	4.36156307077478e-19	9.07769556295019e-17	0.0133	0.0367	0.0238	0.0238	TRUE	NA
FBtr0080565	3579	732	977	1258	301	371	1852	1097	1376	642	413	460	973.45	1442	505	0.351	-1.51	-8.873	7.12442272366482e-19	1.46556002795761e-16	0.0093	0.0326	0.0193	0.0193	TRUE	NA
FBtr0303384	3045	1221	589	552	125	122	1576	1829	830	282	172	151	806.55	1412	202	0.139	-2.85	-8.836	9.9037398692242e-19	2.01387427616604e-16	0.1093	0.034	0.0717	0.0717	TRUE	NA
FBtr0306556	753	193	247	208	57	63	390	289	348	106	78	78	214.89	342	87	0.256	-1.969	-8.828	1.06285715297769e-18	2.11269729138521e-16	0.004	0.0563	0.0282	0.0282	TRUE	NA
FBtr0330118	573	169	182	148	37	48	297	253	256	76	51	60	165.33	269	62	0.231	-2.114	-8.767	1.82959163340715e-18	3.59636728740065e-16	0	0.0653	0.0314	0.0314	TRUE	NA
FBtr0082139	749	168	148	94	30	41	388	252	208	48	41	51	164.63	283	47	0.167	-2.58	-8.763	1.903690804064e-18	3.7009004411754e-16	0.0324	0.0655	0.049	0.049	TRUE	NA
FBtr0307289	1257	577	579	209	185	130	650	864	815	107	254	161	475.39	776	174	0.215	-2.218	-8.761	1.94093428239105e-18	3.7322900423674e-16	0.0458	0.0396	0.0426	0.0426	TRUE	NA
FBtr0071240	288	93	117	41	10	15	149	139	165	21	14	19	84.4	151	18	0.12	-3.064	-8.699	3.34638101563909e-18	6.36568027394313e-16	0	0.1031	0.0583	0.0583	TRUE	NA
FBtr0087307	1934	837	913	707	302	247	1001	1254	1286	361	415	306	770.45	1180	361	0.308	-1.698	-8.678	4.0427075281029e-18	7.60846158294345e-16	0.0179	0.0344	0.0257	0.0257	TRUE	NA
FBtr0080838	2191	714	503	467	182	189	1134	1070	708	238	250	234	605.79	971	241	0.249	-2.005	-8.651	5.08860191687285e-18	9.37733921993725e-16	0.0351	0.0367	0.0359	0.0359	TRUE	NA
FBtr0113113	1036	245	293	234	89	92	536	367	413	119	122	114	278.61	439	118	0.271	-1.885	-8.648	5.22980724192332e-18	9.53819792957376e-16	0.0113	0.0493	0.0285	0.0285	TRUE	NA
