Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0112994	60	23	60	8888	5003	5276	31	34	85	4539	6870	6545	3017.34	50	5985	123.096	6.944	24.549	4.38772204404824e-133	3.88115953406287e-129	0.0935	0.0281	0.0466	0.0466	TRUE	NA
FBtr0073426	549	268	262	4784	2222	2631	284	401	369	2443	3051	3264	1635.45	351	2919	8.337	3.06	21.753	6.43680893097326e-105	3.79578622659493e-101	0.0012	0.0299	0.0125	0.0125	TRUE	NA
FBtr0337020	105	24	35	2749	1051	969	54	36	49	1404	1443	1202	698.11	46	1350	28.72	4.844	21.377	2.20949470376252e-101	9.77204270106569e-98	0.0133	0.0353	0.025	0.025	TRUE	NA
FBtr0342806	149	79	82	2611	2446	2076	77	118	115	1333	3359	2576	1263.09	103	2423	22.183	4.471	20.308	1.0843480525394e-91	3.8366402794949e-88	0.0283	0.0311	0.0297	0.0297	TRUE	NA
FBtr0340240	529	102	102	5508	1146	1066	274	153	144	2813	1574	1322	1046.49	190	1903	9.96	3.316	19.399	7.86623630577129e-84	1.98802266407714e-80	0.0063	0.0322	0.0173	0.0173	TRUE	NA
FBtr0301964	145	145	135	1290	1126	1369	75	217	190	659	1546	1698	730.95	161	1301	8.233	3.041	17.843	3.27030442588463e-71	5.7854955598325e-68	0.003	0.0348	0.017	0.017	TRUE	NA
FBtr0342810	333	94	91	4643	1449	1090	172	141	128	2371	1990	1352	1025.7	147	1904	12.892	3.688	16.804	2.29662134664172e-63	3.12534832641836e-60	0.0287	0.0323	0.0304	0.0304	TRUE	NA
FBtr0089349	1500	393	451	6426	2612	2788	776	589	635	3281	3587	3459	2054.51	667	3442	5.176	2.372	14.293	2.41322426324724e-46	1.94056138368668e-43	0.0112	0.0291	0.0188	0.0188	TRUE	NA
FBtr0087258	963	265	242	5327	2285	2110	498	397	341	2720	3138	2618	1618.62	412	2825	6.896	2.786	14.255	4.15421178980479e-46	3.19531133797551e-43	0.0224	0.03	0.0259	0.0259	TRUE	NA
FBtr0301487	818	499	372	4779	3392	3782	423	747	524	2440	4658	4692	2247.49	565	3930	6.776	2.76	14.072	5.6092282552156e-45	4.1347023776258e-42	0.0246	0.0288	0.0267	0.0267	TRUE	NA
FBtr0305073	191	92	67	1608	583	696	99	138	94	821	801	863	469.36	110	828	7.571	2.92	13.715	8.26506664586471e-43	5.22204621542831e-40	0.0093	0.0398	0.0271	0.0271	TRUE	NA
FBtr0342814	677	213	248	2927	1632	1739	350	319	349	1495	2241	2157	1151.97	339	1964	5.667	2.502	12.709	5.26379338496907e-37	2.91005527417149e-34	0.0213	0.0316	0.0261	0.0261	TRUE	NA
FBtr0081619	132	39	60	945	390	515	68	58	85	483	536	639	311.37	70	553	7.758	2.956	12.493	8.1116498533771e-36	4.34858174412407e-33	0.0137	0.0469	0.0318	0.0318	TRUE	NA
FBtr0347567	196	92	160	3728	1161	1341	101	138	225	1904	1594	1664	937.69	155	1721	11.495	3.523	11.947	6.69520878736983e-33	3.20121455830702e-30	0.0916	0.0329	0.0587	0.0587	TRUE	NA
FBtr0076772	948	252	301	3104	1006	1183	491	377	424	1585	1381	1468	954.35	431	1478	3.436	1.781	11.807	3.6092976287549e-32	1.6803180092185e-29	0.0014	0.0328	0.0147	0.0147	TRUE	NA
FBtr0077644	1140	650	597	3773	1967	2209	590	974	841	1927	2701	2741	1628.78	802	2456	3.088	1.627	11.429	3.01047008689483e-30	1.29898112944528e-27	0.0025	0.0299	0.0137	0.0137	TRUE	NA
FBtr0472696	181	98	77	1067	587	912	94	147	108	545	806	1131	471.88	116	827	6.923	2.791	11.314	1.117085735982e-29	4.59589854773432e-27	0.0375	0.0397	0.0387	0.0387	TRUE	NA
FBtr0332202	609	176	176	3058	696	748	315	264	248	1562	956	928	711.99	276	1149	4.096	2.034	11.294	1.39903599857996e-29	5.62507860247228e-27	0.0098	0.0351	0.0207	0.0207	TRUE	NA
FBtr0080263	221	50	45	1679	1227	1527	114	75	63	857	1685	1894	781.55	84	1479	16.911	4.08	11.196	4.25317849899567e-29	1.67206624057183e-26	0.1638	0.0343	0.0889	0.0889	TRUE	NA
FBtr0085155	990	343	432	2901	1315	1530	512	514	608	1481	1806	1898	1136.63	545	1728	3.152	1.656	10.615	2.5303035537172e-26	8.77717650368841e-24	0.0046	0.0317	0.0162	0.0162	TRUE	NA
FBtr0088136	74	21	49	1084	309	399	38	31	69	554	424	495	268.6	46	491	10.758	3.427	10.466	1.23531043393089e-25	4.12337299748516e-23	0.0879	0.0502	0.0641	0.0641	TRUE	NA
FBtr0081614	153	41	33	875	333	479	79	61	46	447	457	594	280.9	62	499	7.957	2.992	10.395	2.60163618893073e-25	8.52324922562471e-23	0.0504	0.0491	0.0497	0.0497	TRUE	NA
FBtr0089581	538	391	334	4772	1933	1811	278	586	470	2437	2654	2247	1445.4	445	2446	5.737	2.52	10.227	1.50179262425121e-24	4.74432380636217e-22	0.0548	0.0304	0.0423	0.0423	TRUE	NA
FBtr0072635	123	48	34	665	381	334	64	72	48	340	523	414	243.43	61	426	6.804	2.766	9.949	2.55920364259609e-23	7.67370705782498e-21	0.0375	0.0527	0.0458	0.0458	TRUE	NA
FBtr0346714	149	13	13	1173	451	515	77	19	18	599	619	639	328.68	38	619	19.184	4.262	9.895	4.39483677046702e-23	1.25401705332794e-20	0.2141	0.0458	0.1142	0.1142	TRUE	NA
FBtr0302291	7097	2315	2578	17634	7581	7047	3673	3468	3631	9004	10410	8743	6488.12	3591	9386	2.613	1.385	9.759	1.68659369469311e-22	4.66211391450247e-20	0.0076	0.0269	0.0143	0.0143	TRUE	NA
FBtr0077247	887	203	220	2401	619	756	459	304	310	1226	850	938	681.15	358	1005	2.822	1.497	9.6	7.99580663859851e-22	2.0802031653448e-19	0.0018	0.0355	0.0153	0.0153	TRUE	NA
FBtr0301884	751	510	441	2290	1357	1598	389	764	621	1169	1863	1982	1131.5	591	1671	2.854	1.513	9.49	2.31808031960102e-21	5.77593787803685e-19	0.0059	0.0317	0.0171	0.0171	TRUE	NA
FBtr0076454	1477	468	652	4493	1668	2060	764	701	918	2294	2290	2556	1587.35	794	2380	2.995	1.583	9.294	1.48991964206507e-20	3.51442245170309e-18	0.0127	0.03	0.02	0.02	TRUE	NA
FBtr0071849	196	91	123	839	390	442	101	136	173	428	536	548	320.55	137	504	3.74	1.903	9.281	1.68366185226208e-20	3.86826776991798e-18	0.005	0.0463	0.0253	0.0253	TRUE	NA
FBtr0301143	300	145	190	1244	536	686	155	217	268	635	736	851	477.06	213	741	3.536	1.822	9.199	3.6020740433914e-20	8.16978101303041e-18	0.0123	0.0396	0.025	0.025	TRUE	NA
FBtr0344560	129	81	99	452	394	534	67	121	139	231	541	662	293.64	109	478	4.18	2.063	9.097	9.26029215656787e-20	2.07371934863091e-17	0.0161	0.0481	0.0311	0.0311	TRUE	NA
FBtr0075699	733	89	205	3655	1245	1463	379	133	289	1866	1710	1815	1032.06	267	1797	6.968	2.801	8.982	2.66690928460076e-19	5.75369416510635e-17	0.1155	0.0322	0.0674	0.0674	TRUE	NA
FBtr0301850	170	60	36	1089	263	263	88	90	51	556	361	326	245.34	76	414	5.388	2.43	8.833	1.0192279720513e-18	2.0489956879045e-16	0.0347	0.0525	0.0454	0.0454	TRUE	NA
FBtr0078841	28	10	12	309	92	104	14	15	17	158	126	129	76.59	15	138	9.093	3.185	8.654	4.9639415408524e-18	9.24390418939155e-16	0.0066	0.111	0.0587	0.0587	TRUE	NA
FBtr0332403	1139	938	1179	2542	2701	3018	589	1405	1661	1298	3709	3744	2067.71	1218	2917	2.352	1.234	8.535	1.4013139653718e-17	2.3837159001339e-15	0.0046	0.0291	0.0144	0.0144	TRUE	NA
FBtr0077236	353	100	83	1070	360	407	183	150	117	546	494	505	332.51	150	515	3.451	1.787	8.513	1.69207693575163e-17	2.82401255380963e-15	0.0063	0.0455	0.0269	0.0269	TRUE	NA
FBtr0113323	49	26	34	392	173	166	25	39	48	200	238	206	125.98	37	215	5.974	2.579	8.406	4.25425063700792e-17	6.90476587333092e-15	0	0.0776	0.0508	0.0508	TRUE	NA
FBtr0347200	644	135	153	1700	428	555	333	202	215	868	588	689	482.55	250	715	2.882	1.527	8.398	4.53832670373181e-17	7.29886706506541e-15	0.0063	0.0394	0.0206	0.0206	TRUE	NA
FBtr0290078	189	54	80	678	282	381	98	81	113	346	387	473	249.58	97	402	4.088	2.031	8.317	8.99366181461653e-17	1.40802540851665e-14	0.0194	0.052	0.0361	0.0361	TRUE	NA
FBtr0082452	11104	3101	3028	22013	6461	7663	5746	4645	4265	11241	8872	9507	7379.31	4885	9873	2.026	1.019	8.22	2.03675049924504e-16	3.10622009328828e-14	0.0021	0.0268	0.0109	0.0109	TRUE	NA
FBtr0077831	71	19	27	331	152	154	37	28	38	169	209	191	112.01	34	190	5.404	2.434	8.177	2.90252371372179e-16	4.3515717813095e-14	0.0063	0.0841	0.0458	0.0458	TRUE	NA
FBtr0333073	435	138	126	1256	447	416	225	207	177	641	614	516	396.76	203	590	2.908	1.54	8.147	3.74265414295894e-16	5.47200780521376e-14	0.0049	0.0424	0.022	0.022	TRUE	NA
FBtr0342813	191	137	117	1371	485	532	99	205	165	700	666	660	415.82	156	675	4.518	2.176	8.094	5.78438089083574e-16	8.186518587182e-14	0.0543	0.0416	0.0478	0.0478	TRUE	NA
FBtr0113386	19	6	5	229	84	71	10	9	7	117	115	88	57.7	9	107	12.337	3.625	8.078	6.60328338375068e-16	9.27132431285185e-14	0.0114	0.1388	0.0794	0.0794	TRUE	NA
FBtr0332478	60	17	28	289	275	213	31	25	39	148	378	264	147.57	32	263	7.569	2.92	7.913	2.52011535308315e-15	3.37752732662075e-13	0.0927	0.0701	0.0803	0.0803	TRUE	NA
FBtr0071537	1193	279	335	2631	826	930	617	418	472	1343	1134	1154	856.44	502	1210	2.424	1.277	7.894	2.92220621239396e-15	3.82938889655271e-13	0	0.0335	0.0172	0.0172	TRUE	NA
FBtr0300017	19401	7626	6844	40618	23429	24499	10040	11424	9639	20741	32173	30394	19068.35	10368	27769	2.632	1.396	7.861	3.8021337533499e-15	4.90974804602286e-13	0.0198	0.0263	0.0227	0.0227	TRUE	NA
FBtr0342607	29	16	15	265	92	116	15	24	21	135	126	144	77.61	20	135	7.012	2.81	7.842	4.42946754276284e-15	5.61441486434732e-13	0	0.1099	0.0615	0.0615	TRUE	NA
FBtr0342805	114	61	61	723	240	244	59	91	86	369	330	303	206.29	79	334	4.355	2.123	7.831	4.85348539738782e-15	6.08957518902041e-13	0.0317	0.0575	0.0443	0.0443	TRUE	NA
FBtr0302034	146	69	58	1395	288	294	76	103	82	712	395	365	288.86	87	491	5.492	2.457	7.829	4.93546983322397e-15	6.14883076194122e-13	0.0795	0.0485	0.0631	0.0631	TRUE	NA
FBtr0306087	263	43	48	827	322	372	136	64	68	422	442	462	265.68	89	442	5.133	2.36	7.804	6.0181373906243e-15	7.39353254010657e-13	0.0659	0.0505	0.0579	0.0579	TRUE	NA
FBtr0100470	1349	1128	1337	2831	2801	2849	698	1690	1883	1446	3846	3534	2182.89	1424	2942	2.067	1.048	7.795	6.43917812720918e-15	7.85624139644535e-13	0.0025	0.0289	0.0124	0.0124	TRUE	NA
FBtr0088266	534	102	101	1309	322	353	276	153	142	668	442	438	353.32	190	516	2.756	1.462	7.711	1.25132012453179e-14	1.4957502921008e-12	0.004	0.0444	0.0215	0.0215	TRUE	NA
FBtr0332406	191	919	751	637	2528	2334	99	1377	1058	325	3471	2896	1537.59	845	2231	2.81	1.491	7.686	1.51299799349766e-14	1.78442983353114e-12	0.0215	0.0302	0.0255	0.0255	TRUE	NA
FBtr0073359	3934	1398	1289	8535	3640	3343	2036	2094	1815	4358	4998	4147	3241.59	1982	4501	2.27	1.183	7.577	3.53913809231452e-14	3.98795490389403e-12	0.0099	0.0279	0.0172	0.0172	TRUE	NA
FBtr0072506	837	509	535	4188	1428	1689	433	762	754	2139	1961	2095	1357.33	650	2065	3.284	1.716	7.564	3.91224608378861e-14	4.32572159176902e-12	0.041	0.0307	0.036	0.036	TRUE	NA
FBtr0075928	107	44	42	448	152	225	55	66	59	229	209	279	149.51	60	239	3.989	1.996	7.522	5.41017482400019e-14	5.94480762803648e-12	0	0.0695	0.0396	0.0396	TRUE	NA
FBtr0072102	112	51	42	384	181	215	58	76	59	196	249	267	150.81	64	237	3.644	1.865	7.483	7.25216132473328e-14	7.82304792657661e-12	6e-04	0.0691	0.0344	0.0344	TRUE	NA
FBtr0075541	171	33	35	606	138	142	88	49	49	309	190	176	143.72	62	225	3.616	1.854	7.483	7.2474635586304e-14	7.82304792657661e-12	0	0.0713	0.032	0.032	TRUE	NA
FBtr0076668	41	30	24	305	121	161	21	45	34	156	166	200	103.6	33	174	5.482	2.455	7.421	1.16304756665557e-13	1.21748369832567e-11	0	0.0888	0.0594	0.0594	TRUE	NA
FBtr0088506	1527	499	609	3057	1309	1541	790	747	858	1561	1798	1912	1277.63	798	1757	2.189	1.131	7.411	1.25078627789709e-13	1.30162706131043e-11	0.0052	0.031	0.0158	0.0158	TRUE	NA
FBtr0346711	1061	386	337	2614	835	934	549	578	475	1335	1147	1159	873.68	534	1214	2.272	1.184	7.352	1.95802415905634e-13	1.9907704251647e-11	0.0044	0.0334	0.0172	0.0172	TRUE	NA
FBtr0077920	866	342	401	2084	814	893	448	512	565	1064	1118	1108	802.51	508	1097	2.168	1.117	7.257	3.94363406853525e-13	3.96402444923051e-11	0	0.0341	0.0155	0.0155	TRUE	NA
FBtr0080592	48	19	35	264	133	149	25	28	49	135	183	185	100.81	34	168	4.96	2.31	7.205	5.80669648081923e-13	5.7711386203468e-11	5e-04	0.0906	0.0554	0.0554	TRUE	NA
FBtr0081635	4695	1100	1386	9433	2666	2869	2430	1648	1952	4817	3661	3559	3011.1	2010	4012	1.998	0.998	7.201	5.96154043846867e-13	5.89193362552789e-11	0.0038	0.0281	0.0134	0.0134	TRUE	NA
FBtr0332963	149	58	53	556	175	195	77	87	75	284	240	242	167.46	80	255	3.233	1.693	7.15	8.70497668326936e-13	8.41528647561302e-11	0.0018	0.0648	0.0314	0.0314	TRUE	NA
FBtr0340135	1615	961	897	4838	1976	2538	836	1440	1263	2470	2713	3149	1978.54	1180	2777	2.407	1.267	7.132	9.90636192677259e-13	9.47315939710994e-11	0.0165	0.0292	0.0221	0.0221	TRUE	NA
FBtr0087090	52	12	23	338	106	98	27	18	32	173	146	122	86.17	26	147	5.7	2.511	7.113	1.13176623826255e-12	1.07645572694101e-10	0.0123	0.1015	0.0646	0.0646	TRUE	NA
FBtr0076545	545	271	246	1174	854	825	282	406	346	599	1173	1024	638.36	345	932	2.619	1.389	7.111	1.15299959535292e-12	1.09078694338976e-10	0.0165	0.0361	0.0254	0.0254	TRUE	NA
FBtr0332911	76	30	53	362	179	182	39	45	75	185	246	226	135.89	53	219	4.193	2.068	7.081	1.43550288841933e-12	1.35082348930991e-10	0.0131	0.0739	0.049	0.049	TRUE	NA
FBtr0304990	128	30	14	762	108	127	66	45	20	389	148	158	137.64	44	232	5.175	2.372	7.073	1.5126931855866e-12	1.41592884371495e-10	0.0378	0.0733	0.0626	0.0626	TRUE	NA
FBtr0302833	567	211	177	1275	557	591	293	316	249	651	765	733	501.32	286	716	2.49	1.316	7.04	1.91839357003061e-12	1.76761982538602e-10	0.0081	0.0389	0.0225	0.0225	TRUE	NA
FBtr0304005	290	48	51	840	196	171	150	72	72	429	269	212	200.67	98	303	3.144	1.653	6.925	4.37026266149803e-12	3.92458460632293e-10	0.0098	0.0584	0.0325	0.0325	TRUE	NA
FBtr0089716	480	209	170	1139	606	571	248	313	239	582	832	708	487.18	267	707	2.624	1.392	6.901	5.17915670182906e-12	4.60424428201296e-10	0.0151	0.0393	0.0266	0.0266	TRUE	NA
FBtr0076453	609	183	208	1523	430	594	315	274	293	778	590	737	497.89	294	702	2.386	1.254	6.887	5.69893629227976e-12	5.04099409733607e-10	0.0083	0.039	0.0212	0.0212	TRUE	NA
FBtr0299920	112	19	24	453	96	156	58	28	34	231	132	194	112.82	40	186	4.691	2.23	6.874	6.25118595553125e-12	5.50197665369668e-10	0.0322	0.0837	0.0578	0.0578	TRUE	NA
FBtr0076496	423	153	205	1095	435	596	219	229	289	559	597	739	438.78	246	632	2.571	1.362	6.843	7.77155537298703e-12	6.77273823170018e-10	0.0123	0.0408	0.0255	0.0255	TRUE	NA
FBtr0088663	20102	6412	6907	37030	21575	20189	10403	9605	9728	18909	29627	25047	17219.67	9912	24528	2.441	1.288	6.741	1.57805283568885e-11	1.31685531680054e-09	0.0261	0.0263	0.0262	0.0262	TRUE	NA
FBtr0335475	860	133	63	3438	406	453	445	199	89	1756	558	562	601.35	244	959	3.912	1.968	6.735	1.63377847821315e-11	1.35695657549619e-09	0.087	0.0368	0.0572	0.0572	TRUE	NA
