gene_id	DEBrowser/RNAi_1	DEBrowser/RNAi_3	DEBrowser/RNAi_4	DEBrowser/Untreated_1	DEBrowser/Untreated_3	DEBrowser/Untreated_4
FBgn0013687	0	0	0	0	0	0
FBtr0005088	192.11	229.91	177.87	173.27	187	201.26
FBtr0006151	0	0	0	0	0	0
FBtr0070000	0	0.06	0.23	0.15	0.23	0.36
FBtr0070002	0.16	0	0	0.07	0	0
FBtr0070003	1.97	3.21	2.69	1.55	1.55	1.46
FBtr0070006	6.77	0	0	6.72	10.16	0
FBtr0070007	36.6	42.22	39.72	36.63	39.49	39.02
FBtr0070008	15.71	20.16	21.69	13.25	16.05	17.75
FBtr0070025	80.59	113.32	92.83	74.41	120.44	111.61
FBtr0070026	13.82	20.85	20.15	13.3	18.07	17.65
FBtr0070027	15.17	16.25	13.68	10.66	14.22	14.21
FBtr0070028	3.19	0.31	0.6	2.05	1.04	1.46
FBtr0070029	0	0	0	0	0	0
FBtr0070032	0.35	0.66	0.25	0.35	0.29	0.3
FBtr0070034	0.01	0	0.02	0.01	0	0
FBtr0070035	0.13	0	0.1	0	0.12	0
FBtr0070036	163.4	250.7	280.54	143.39	218.87	250.52
FBtr0070038	64.21	37.93	31.11	44	39.17	34.69
FBtr0070040	7.87	12.49	12.65	2.2	13.27	3.09
FBtr0070041	182.01	170.99	174.54	188.25	161.78	190.12
FBtr0070042	12.06	3.15	7.11	19.63	10.53	0
FBtr0070043	0	0.68	0	1.76	0	1.5
FBtr0070044	36.75	36.85	26.67	18.01	29.4	37.98
FBtr0070045	10.97	4.07	2.84	3.09	2.31	3.4
FBtr0070046	10.04	3.87	3.83	6.17	4.63	4.59
FBtr0070050	0	0.59	0	0	0	0.28
FBtr0070051	0	0	0	0	0.29	0
FBtr0070052	89.77	96.2	142.52	76.84	72.98	111.33
FBtr0070053	0	0	0	0.3	0	0
FBtr0070054	0	0	0	0	0.29	0
FBtr0070055	0.14	0.16	0.14	0.31	0.08	0.15
FBtr0070056	0.4	0	0.41	0.32	0	0.24
FBtr0070057	0.09	0	0	0	0	0
FBtr0070058	84.81	125.19	125.42	108.9	124.09	121.95
FBtr0070059	1.66	3.26	2.08	3.93	1.55	2.1
FBtr0070060	2.3	0	1.95	2.32	0.8	0
FBtr0070061	3.63	0	0.53	3.09	1.96	0.71
FBtr0070062	4.59	0	1.92	0.78	2.61	6.93
FBtr0070063	5.91	5.31	5.96	6.74	6.84	5.99
FBtr0070064	13.11	10.88	11.82	11.84	9.4	11
FBtr0070065	0	2.36	0	0	0	0
FBtr0070066	0.11	0.17	0.06	0.1	0.04	0.04
FBtr0070067	0	0	0	0	0	0
FBtr0070068	0	0	0	0	0	0
FBtr0070069	0	0	0	0	0	0.14
FBtr0070070	9.02	6.92	6.52	4.35	5.01	4.74
FBtr0070071	14.42	10.95	11.24	9.13	6.64	9.35
FBtr0070072	0	0	0	0.05	0	0
FBtr0070073	0	0	0	0	0	0
FBtr0070074	0	0	0	0	0	0
FBtr0070075	0.02	0	0	0	0	0
FBtr0070076	0	0	0	0	0	0
FBtr0070077	0.25	2.89	1.55	0.49	0	0.57
FBtr0070078	8.21	10.62	11.08	6.98	7.33	5.4
FBtr0070079	2.84	3.66	2.76	2.29	2.82	2.44
FBtr0070080	0.01	0.7	0.21	0.12	0.62	0
FBtr0070081	0	0	0	0	0	0
FBtr0070084	0	0	0	0	0	0
FBtr0070085	6.97	10.65	9.72	8.84	8.11	7.7
FBtr0070086	0	0	0	0.13	0.19	0
FBtr0070087	0	0	0	0.02	0.03	0
FBtr0070088	9.55	13.34	17.18	10.01	11.07	10.43
FBtr0070089	5.27	10.35	4.4	6.02	4.43	6.17
FBtr0070090	0.74	2.26	1.68	2.31	0.97	0.76
