Name	Length	EffectiveLength	TPM	NumReads
FBtr0303313	423	241.77	0	0
FBgn0013687	4608	4426.3	0.025581	1
FBtr0445213	1085	903.297	3.63524	29
FBtr0304150	610	428.663	0.264149	1
FBtr0346750	640	458.632	0	0
FBtr0302916	1329	1147.3	0	0
FBtr0077575	715	533.612	3.31676	15.631
FBtr0343565	391	209.808	2.28316	4.231
FBtr0307111	548	366.679	0	0
FBtr0091871	526	344.686	0.016133	0.049
FBtr0340134	526	344.686	0.040981	0.125
FBtr0345518	731	549.606	1.21127	5.879
FBtr0346892	1975	1793.3	3771.86	59736.9
FBtr0345859	999	817.297	3.85424	27.82
FBtr0334478	392	210.807	0.007493	0.014
FBtr0346744	780	598.587	0	0
FBtr0347452	760	578.594	0.00026	0.001
FBtr0347446	582	400.672	0	0
FBtr0084817	1248	1066.3	0	0
FBtr0344334	427	245.765	1.9324	4.194
FBtr0306709	777	595.588	0.190117	1
FBtr0333937	1641	1459.3	3.18131	41
FBtr0347451	775	593.589	0.000261	0.001
FBtr0306722	1265	1083.3	29.894	286
FBtr0088081	1226	1044.3	0	0
FBtr0070932	471	289.728	0.001606	0.004
FBtr0301172	759	577.594	0.002595	0.013
FBtr0333553	829	647.566	0.174856	1
FBtr0329828	1288	1106.3	0.409406	4
FBtr0305348	1532	1350.3	0.09009	1.074
FBtr0114243	1041	859.297	0.486022	3.688
FBtr0112457	1130	948.297	0.081191	0.68
FBtr0307112	1182	1000.3	27.6988	244.694
FBtr0347527	1290	1108.3	0	0
FBtr0336866	1058	876.297	0.929054	7.19
FBtr0347430	766	584.593	0.00026	0.001
FBtr0347098	1131	949.297	2.50486	21
FBtr0305617	1348	1166.3	1.05774	10.895
FBtr0347195	590	408.671	0	0
FBtr0307582	220	40.577	0	0
FBtr0347444	414	232.779	0.000301	0.001
FBtr0302397	1494	1312.3	17.8349	206.699
FBtr0334740	1497	1315.3	46.0386	534.787
FBtr0070095	1861	1679.3	0.266914	3.959
FBtr0091606	534	352.681	0	0
FBtr0114241	789	607.58	0.010595	0.057
FBtr0075835	53	16.094	0	0
FBtr0302913	394	212.805	5.17097	9.718
FBtr0305350	501	319.703	1.71713	4.848
FBtr0346749	659	477.623	0	0
FBtr0081172	421	239.772	0	0
FBtr0346896	1258	1076.3	5.74915	54.647
FBtr0347434	766	584.593	0.00026	0.001
FBtr0346897	123	49.824	3290.74	1447.99
FBtr0345338	1272	1090.3	1.03846	9.999
FBtr0345654	506	324.699	0.348727	1
FBtr0100604	1209	1027.3	0	0
FBtr0072914	1021	839.297	3.77753	28
FBtr0088762	456	274.737	0	0
FBtr0346872	1721	1539.3	5685.29	77287.5
FBtr0306724	802	620.576	0.182461	1
FBtr0306845	361	179.825	0	0
FBtr0347036	330	148.838	0.00049	0.001
FBtr0113190	1074	892.297	0.888289	7
FBtr0334467	333	151.836	16.3301	21.898
FBtr0333684	4305	4123.3	0.292757	10.661
FBtr0070923	1347	1165.3	0.542743	5.586
FBtr0339505	1709	1527.3	0.074138	1
FBtr0307583	352	170.83	0.000931	0.001
FBtr0347449	527	345.685	0.000181	0.001
FBtr0347433	775	593.589	0.000261	0.001
FBtr0347030	1916	1734.3	0.682901	10.46
FBtr0343809	881	699.511	15.9521	98.548
FBtr0302440	184	16.593	0	0
FBtr0303010	810	628.573	0.619326	3.438
FBtr0302346	1400	1218.3	2.85023	30.667
FBtr0302915	1307	1125.3	0.03963	0.394
FBtr0085895	825	643.567	44.2929	251.746
FBtr0091815	333	151.836	0.000196	0
FBtr0339151	1366	1184.3	0	0
FBtr0343422	638	456.633	0	0
FBtr0310392	2132	1950.3	5.22525	90
FBtr0347424	274	92.88	3.93299	3.226
FBtr0309507	467	285.731	0.022561	0.057
FBtr0321274	675	493.622	0	0
FBtr0080132	1873	1691.3	0.03347	0.5
FBtr0078629	1897	1715.3	104.234	1579
FBtr0080936	774	592.589	175.473	918.327
FBtr0073031	1144	962.297	8.02012	68.159
FBtr0337016	1111	929.297	2.32347	19.069
FBtr0073792	737	555.601	883.142	4333.39
FBtr0079085	4065	3883.3	0.434688	14.908
FBtr0088102	1945	1763.3	0.398572	6.207
FBtr0333529	9439	9257.3	0.008441	0.69
FBtr0300490	2762	2580.3	0.284603	6.485
FBtr0085634	1187	1005.3	237.363	2107.37
FBtr0306588	1246	1064.3	0.279074	2.623
FBtr0306587	981	799.438	0.618913	4.37
FBtr0344763	1526	1344.3	1.03803	12.324
FBtr0074437	1875	1693.3	0	0
FBtr0078061	2629	2447.3	38.3997	829.945
FBtr0070859	1746	1564.3	8.54641	118.069
FBtr0302875	494	312.707	0	0
FBtr0079860	5802	5620.3	0.031237	1.55
FBtr0332167	3281	3099.3	5.55089	151.936
FBtr0331397	2214	2032.3	3.43383	61.631
FBtr0342992	3849	3667.3	0.059266	1.919
FBtr0114460	3475	3293.3	0.449903	13.085
FBtr0331398	1855	1673.3	9.817	145.073
FBtr0310465	1693	1511.3	7.5257	100.446
FBtr0080120	725	543.61	0	0
FBtr0086579	3608	3426.3	21.7123	657
FBtr0087153	1899	1717.3	0.006598	0.1
FBtr0082474	701	519.617	25.6193	117.567
FBtr0086810	838	656.563	0	0
FBtr0080281	1886	1704.3	0.000746	0.011
FBtr0086760	549	367.679	0.307961	1
FBtr0304008	3024	2842.3	0.728424	18.285
FBtr0304636	531	349.682	0.323811	1
FBtr0336648	6435	6253.3	0.189502	10.465
FBtr0299564	2628	2446.3	10.8734	234.914
FBtr0304628	2721	2539.3	40.5786	910.008
FBtr0301470	4092	3910.3	0.031527	1.089
FBtr0308795	1251	1069.3	0.213414	2.015
FBtr0075157	661	479.623	0.708251	3
FBtr0333366	1074	892.297	0.063117	0.497
FBtr0082097	2784	2602.3	1.53126	35.192
FBtr0070721	1868	1686.3	0	0
FBtr0303104	3372	3190.3	0.161874	4.561
FBtr0100402	3384	3202.3	3.8594	109.148
FBtr0308855	6075	5893.3	14.1127	734.518
FBtr0080735	1934	1752.3	0.032328	0.5
FBtr0081340	628	446.643	94.815	374
FBtr0078494	1842	1660.3	25.9534	380.552
FBtr0073260	3657	3475.3	0.081431	2.499
FBtr0333727	2908	2726.3	0.599727	14.44
FBtr0331308	1819	1637.3	2.55478	36.942
FBtr0071094	643	461.631	5144.24	20972.5
FBtr0072475	2696	2514.3	1.62151	36.006
FBtr0301259	939	757.493	0.050084	0.335
FBtr0074174	2250	2068.3	0.770168	14.068
FBtr0339921	3148	2966.3	0	0
FBtr0302643	3243	3061.3	1.13575	30.706
FBtr0075979	2691	2509.3	0	0
FBtr0310147	2351	2169.3	0.938929	17.988
FBtr0301604	1722	1540.3	2.99279	40.711
FBtr0072335	1557	1375.3	0.082332	1
FBtr0345536	1248	1066.3	2.61948	24.668
FBtr0083652	2845	2663.3	0.560473	13.183
FBtr0083649	2994	2812.3	0.406352	10.092
FBtr0333074	7272	7090.3	11.4383	716.241
FBtr0347032	610	428.663	0	0
FBtr0087359	2273	2091.3	0.255935	4.727
FBtr0084095	7188	7006.3	1.09888	67.994
FBtr0346730	654	472.624	0	0
FBtr0072993	2831	2649.3	11.7416	274.721
FBtr0079201	1290	1108.3	0	0
FBtr0080039	3073	2891.3	0.173873	4.44
FBtr0343410	747	565.596	0	0
FBtr0087779	2778	2596.3	0.087225	2
FBtr0081842	1524	1342.3	1.55394	18.421
FBtr0336968	2263	2081.3	0	0
FBtr0303158	610	428.663	2.11319	8
