Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.429	0.000000	0.000
FBtr0300738	2350	2179.017	0.260981	4.757
FBtr0300739	2172	2001.017	0.409096	6.847
FBtr0300737	2184	2013.017	0.359077	6.046
FBtr0300736	2338	2167.017	0.287410	5.210
FBtr0078628	2467	2296.017	0.234771	4.509
FBtr0300740	2479	2308.017	0.216363	4.177
FBtr0078627	2301	2130.017	0.307500	5.479
FBtr0300741	2313	2142.017	0.277653	4.975
FBtr0072762	889	718.245	68.420478	411.067
FBtr0346821	1270	1099.017	3.792172	34.862
FBtr0331460	900	729.244	0.293069	1.788
FBtr0303848	5005	4834.017	5.047827	204.111
FBtr0086122	1465	1294.017	0.831474	9.000
FBtr0335147	3125	2954.017	2.337348	57.755
FBtr0081459	3019	2848.017	19.327570	460.440
FBtr0305321	6523	6352.017	0.474661	25.220
FBtr0083716	5665	5494.017	14.966001	687.780
FBtr0078184	1305	1134.017	0.316263	3.000
FBtr0081691	765	594.313	0.000000	0.000
FBtr0085263	1228	1057.017	0.339301	3.000
FBtr0086342	492	321.443	0.000000	0.000
FBtr0086343	495	324.440	0.000000	0.000
FBtr0091847	1023	852.017	1.342751	9.570
FBtr0072393	1393	1222.017	76.714965	784.171
FBtr0343502	867	696.249	0.443105	2.581
FBtr0343753	3569	3398.017	3.734131	106.137
FBtr0433525	3725	3554.017	0.254013	7.551
FBtr0113895	961	790.216	22.885845	151.275
FBtr0345179	887	716.245	49.192852	294.725
FBtr0334135	4703	4532.017	0.322410	12.222
FBtr0334137	4561	4390.017	0.751798	27.607
FBtr0334141	5321	5150.017	0.211178	9.097
FBtr0334139	4203	4032.017	0.571451	19.273
FBtr0334140	5704	5533.017	0.174415	8.072
FBtr0344148	4894	4723.017	0.276993	10.943
FBtr0334142	5071	4900.017	0.245194	10.050
FBtr0334138	5563	5392.017	0.186322	8.404
FBtr0334136	3862	3691.017	1.241511	38.331
FBtr0085105	995	824.166	4.206587	29.000
FBtr0346720	2745	2574.017	0.000000	0.000
FBtr0076089	442	271.463	0.000000	0.000
FBtr0087500	1417	1246.017	8.730996	91.000
FBtr0073094	1694	1523.017	5.936467	75.629
FBtr0073093	1577	1406.017	75.450337	887.371
FBtr0343515	1092	921.017	0.240883	1.856
FBtr0072451	975	804.190	8.643586	58.144
FBtr0071607	2252	2081.017	2.929820	51.000
FBtr0081516	4704	4533.017	0.105492	4.000
FBtr0300749	931	760.242	2.529826	16.088
FBtr0346532	1185	1014.017	0.146871	1.246
FBtr0073076	880	709.245	59.950513	355.666
FBtr0089289	4677	4506.017	1.161374	43.774
FBtr0100448	4590	4419.017	1.816102	67.130
FBtr0089290	4681	4510.017	1.155778	43.602
FBtr0089288	4037	3866.017	7.597205	245.681
FBtr0100447	4417	4246.017	1.456554	51.732
FBtr0329933	4663	4492.017	1.212646	45.565
FBtr0336949	2826	2655.017	18.259074	405.508
FBtr0088786	1378	1207.017	68.628057	692.897
FBtr0088785	1869	1698.017	14.741417	209.380
FBtr0303077	607	436.384	0.000000	0.000
