Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.697	0.000000	0.000
FBtr0300738	2350	2168.297	0.160085	3.066
FBtr0300739	2172	1990.297	0.267024	4.694
FBtr0300737	2184	2002.297	0.248318	4.391
FBtr0300736	2338	2156.297	0.168755	3.214
FBtr0078628	2467	2285.297	0.146461	2.956
FBtr0300740	2479	2297.297	0.139736	2.835
FBtr0078627	2301	2119.297	0.215736	4.038
FBtr0300741	2313	2131.297	0.203124	3.823
FBtr0072762	889	707.509	71.317533	445.618
FBtr0346821	1270	1088.297	4.047204	38.899
FBtr0331460	900	718.504	2.478691	15.728
FBtr0303848	5005	4823.297	8.304515	353.747
FBtr0086122	1465	1283.297	0.617641	7.000
FBtr0335147	3125	2943.297	2.213738	57.543
FBtr0081459	3019	2837.297	18.905269	473.720
FBtr0305321	6523	6341.297	1.272993	71.292
FBtr0083716	5665	5483.297	18.021586	872.708
FBtr0078184	1305	1123.297	0.604815	6.000
FBtr0081691	765	583.593	0.000000	0.000
FBtr0085263	1228	1046.297	0.000000	0.000
FBtr0086342	492	310.708	0.000000	0.000
FBtr0086343	495	313.706	0.000000	0.000
FBtr0091847	1023	841.297	1.424619	10.585
FBtr0072393	1393	1211.297	13.585966	145.337
FBtr0343502	867	685.525	0.770242	4.663
FBtr0343753	3569	3387.297	4.055069	121.307
FBtr0433525	3725	3543.297	0.164622	5.151
FBtr0113895	961	779.461	24.711189	170.107
FBtr0345179	887	705.509	46.526500	289.893
FBtr0334135	4703	4521.297	0.280142	11.186
FBtr0334137	4561	4379.297	0.444951	17.209
FBtr0334141	5321	5139.297	0.200374	9.095
FBtr0334139	4203	4021.297	0.500835	17.787
FBtr0334140	5704	5522.297	0.165395	8.066
FBtr0344148	4894	4712.297	0.263101	10.949
FBtr0334142	5071	4889.297	0.216241	9.337
FBtr0334138	5563	5381.297	0.176719	8.399
FBtr0334136	3862	3680.297	1.014458	32.972
FBtr0085105	995	813.430	9.465732	68.000
FBtr0346720	2745	2563.297	0.000000	0.000
FBtr0076089	442	260.748	0.000000	0.000
FBtr0087500	1417	1235.297	11.457879	125.000
FBtr0073094	1694	1512.297	6.595513	88.089
FBtr0073093	1577	1395.297	76.681395	944.911
FBtr0343515	1092	910.297	0.180717	1.453
FBtr0072451	975	793.444	10.210379	71.547
FBtr0071607	2252	2070.297	3.336282	61.000
FBtr0081516	4704	4522.297	0.150230	6.000
FBtr0300749	931	749.498	1.877865	12.430
FBtr0346532	1185	1003.297	0.502870	4.456
FBtr0073076	880	698.511	62.266256	384.114
FBtr0089289	4677	4495.297	0.850075	33.748
FBtr0100448	4590	4408.297	1.161223	45.209
FBtr0089290	4681	4499.297	1.094692	43.498
FBtr0089288	4037	3855.297	9.803447	333.788
FBtr0100447	4417	4235.297	1.511627	56.541
FBtr0329933	4663	4481.297	1.148701	45.462
FBtr0336949	2826	2644.297	22.556074	526.754
FBtr0088786	1378	1196.297	82.012967	866.475
FBtr0088785	1869	1687.297	11.648595	173.580
FBtr0303077	607	425.666	0.000000	0.000
FBtr0339716	615	433.660	0.057914	0.222
FBtr0085459	600	418.669	82.699241	305.778
FBtr0070973	1218	1036.297	1.201916	11.000
FBtr0089252	2767	2585.297	2.363828	53.971
FBtr0334488	2840	2658.297	2.150072	50.477
FBtr0334489	2902	2720.297	0.814823	19.576
FBtr0100600	3804	3622.297	3.274366	104.748
FBtr0300305	309	127.849	0.000000	0.000
FBtr0077162	567	385.676	0.000000	0.000
FBtr0072277	713	531.612	55.591873	261.000
FBtr0344898	1082	900.297	0.000000	0.000
FBtr0086817	1175	993.297	0.000000	0.000
