Name	Length	EffectiveLength	TPM	NumReads
FBtr0303313	423	245.754	0	0
FBgn0013687	4608	4430.16	0	0
FBtr0445213	1085	907.165	4.26178	26
FBtr0304150	610	432.628	0.687416	2
FBtr0346750	640	462.595	0	0
FBtr0302916	1329	1151.16	0	0
FBtr0077575	715	537.562	0.260949	0.943
FBtr0343565	391	213.796	0.004177	0.006
FBtr0307111	548	370.655	0.401175	1
FBtr0091871	526	348.666	0.986296	2.313
FBtr0340134	526	348.666	0.283034	0.664
FBtr0345518	731	553.555	0.090349	0.336
FBtr0346892	1975	1797.16	7171.55	86675.7
FBtr0345859	999	821.165	5.47781	30.251
FBtr0334478	392	214.795	0	0
FBtr0346744	780	602.535	0	0
FBtr0347452	760	582.544	0	0
FBtr0347446	582	404.641	0	0
FBtr0084817	1248	1070.16	0	0
FBtr0344334	427	249.747	0.006289	0.011
FBtr0306709	777	599.538	0.496041	2
FBtr0333937	1641	1463.16	2.13417	21
FBtr0347451	775	597.538	0	0
FBtr0306722	1265	1087.16	34.0571	249
FBtr0088081	1226	1048.16	0	0
FBtr0070932	471	293.71	0.00265	0.005
FBtr0301172	759	581.545	0.511389	2
FBtr0333553	829	651.489	0.048559	0.213
FBtr0329828	1288	1110.16	0	0
FBtr0305348	1532	1354.16	0.224048	2.04
FBtr0114243	1041	863.165	0.332518	1.93
FBtr0112457	1130	952.165	0.144166	0.923
FBtr0307112	1182	1004.16	22.9834	155.209
FBtr0347527	1290	1112.16	0	0
FBtr0336866	1058	880.165	3.27832	19.405
FBtr0347430	766	588.542	0	0
FBtr0347098	1131	953.165	3.58809	23
FBtr0305617	1348	1170.16	1.96884	15.494
FBtr0347195	590	412.636	0	0
FBtr0307582	220	44.748	0	0
FBtr0347444	414	236.767	0.000207	0
FBtr0302397	1494	1316.16	12.6014	111.539
FBtr0334740	1497	1319.16	47.1464	418.258
FBtr0070095	1861	1683.16	0.518829	5.873
FBtr0091606	534	356.661	0	0
FBtr0114241	789	611.525	0	0
FBtr0075835	53	14.301	0	0
FBtr0302913	394	216.792	7.5919	11.069
FBtr0305350	501	323.686	5.0172	10.921
FBtr0346749	659	481.581	0	0
FBtr0081172	421	243.757	0.610024	1
FBtr0346896	1258	1080.16	11.092	80.574
FBtr0347434	766	588.542	0	0
FBtr0346897	123	58.482	1239.76	487.596
FBtr0345338	1272	1094.16	1.14605	8.433
FBtr0345654	506	328.68	0	0
FBtr0100604	1209	1031.16	0	0
FBtr0072914	1021	843.165	5.29069	30
FBtr0088762	456	278.721	0	0
FBtr0346872	1721	1543.16	9308.33	96600.7
FBtr0306724	802	624.516	0	0
FBtr0306845	361	183.817	0.808945	1
FBtr0347036	330	152.835	0.000748	0.001
FBtr0113190	1074	896.165	3.65038	22
FBtr0334467	333	155.832	19.253	20.177
